Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
20.405	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
29.403	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Chases female	Aggressive		POINT
30.656	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
38.652	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Chases female	Aggressive		POINT
48.421	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Dig pot/substrate	Reproductive		POINT
52.67	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
54.666	D:/A1B/GX010554.MP4	1417.42	29.97		Chases female	Aggressive		POINT
57.668	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
61.67	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
66.42	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
67.904	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Chases female	Aggressive		POINT
72.421	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
93.168	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Bite	Aggressive		POINT
106.428	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
110.923	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Dig pot/substrate	Reproductive		POINT
129.419	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Dig pot/substrate	Reproductive		POINT
169.421	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
184.417	D:/A1B/GX010554.MP4	1417.42	29.97		Quiver male	Aggressive		POINT
195.17	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
203.419	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
212.917	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Flee	Other		POINT
253.672	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Head on head fight	Aggressive		POINT
259.171	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Head on head fight	Aggressive		POINT
265.92	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Head on head fight	Aggressive		POINT
267.421	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Head on head fight	Aggressive		POINT
282.411	D:/A1B/GX010554.MP4	1417.42	29.97	Subordinate	Chases female	Aggressive		POINT
284.168	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
290.675	D:/A1B/GX010554.MP4	1417.42	29.97	Dominant	Chases male	Aggressive		POINT
