Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
906.303	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
928.826	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Flee	Other		POINT
928.839	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
932.845	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
935.105	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
940.574	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	bite female	Reproductive		POINT
942.845	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
945.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
948.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
949.578	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Flee	Other		POINT
950.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
955.851	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
959.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
963.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
967.849	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
969.841	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
970.351	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
979.827	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Flee	Other		POINT
980.101	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
981.603	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Bite	Aggressive		POINT
990.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
996.357	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
1004.357	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
1006.105	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
1006.574	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	bite female	Reproductive		POINT
1008.355	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1009.161	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Chases Female	Aggressive		POINT
1009.855	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
1029.593	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Quiver Male	Aggressive		POINT
1030.788	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Flee	Other		POINT
1031.855	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
1035.357	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1041.855	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1044.107	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	bite female	Reproductive		POINT
1048.103	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1048.308	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1050.105	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1052.849	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1055.209	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Chases Female	Aggressive		POINT
1055.605	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1066.31	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1069.473	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	bite female	Reproductive		POINT
1070.808	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1074.97	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	bite female	Reproductive		POINT
1078.353	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1092.476	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Chases Female	Aggressive		POINT
1092.559	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1093.997	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	bite female	Reproductive		POINT
1113.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Foraging	Other		POINT
1118.353	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Male	Aggressive		POINT
1130.355	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Quiver female	Reproductive		POINT
1132.349	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Bite	Aggressive		POINT
1132.495	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Flee	Other		POINT
1139.857	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Lead	Reproductive		POINT
1142.539	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Dominant	Chases Female	Aggressive		POINT
1144.495	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1B/GX020554.MP4	3375.95	29.97	Subordinate	Chases Female	Aggressive		POINT
