Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
20.405	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
30.656	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
48.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
52.670	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
54.666	D:/A1B/GX010554.MP4	1417.420	29.97		Chases Female	Aggressive		POINT
57.668	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
61.670	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
66.420	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
72.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
93.168	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Bite	Aggressive		POINT
106.428	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
110.923	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
129.419	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
169.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
184.417	D:/A1B/GX010554.MP4	1417.420	29.97		Quiver Male	Aggressive		POINT
195.170	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
203.419	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
253.672	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	head on head fight	Aggressive		POINT
259.171	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	head on head fight	Aggressive		POINT
267.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	head on head fight	Aggressive		POINT
284.168	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
290.675	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
313.918	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
339.420	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
342.672	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
375.672	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
380.171	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
388.670	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Bite	Aggressive		POINT
390.668	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
393.668	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
397.169	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
405.167	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
406.172	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
408.169	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
411.174	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
430.669	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
434.921	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
475.415	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
485.177	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
492.172	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
495.168	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
498.167	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
505.920	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
516.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
518.917	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
527.169	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
537.918	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
548.920	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
550.918	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
555.672	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
565.670	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	head on head fight	Aggressive		POINT
584.918	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
591.667	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Bite	Aggressive		POINT
597.420	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
607.919	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
619.419	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
635.920	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
643.918	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
649.421	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
655.920	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
659.921	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
673.922	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
680.418	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
691.420	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
698.668	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
706.919	D:/A1B/GX010554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
710.629	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
719.129	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
736.129	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
746.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
750.128	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
754.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
761.627	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
773.377	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
785.129	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
823.131	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
833.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
839.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
848.630	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
850.629	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
876.129	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
888.629	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
905.629	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
934.877	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
946.132	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
959.379	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
988.627	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1008.128	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1038.125	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1048.130	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1052.630	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1058.384	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1059.877	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1070.378	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1074.875	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1091.376	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1093.623	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1118.129	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1149.375	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1175.879	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Bite	Aggressive		POINT
1188.377	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1192.881	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1210.380	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1214.626	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1220.626	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1225.381	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1232.630	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1237.125	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1258.626	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1260.626	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1263.875	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1270.127	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1291.130	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1311.134	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1328.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1350.128	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1354.126	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Male	Aggressive		POINT
1356.628	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Chases Female	Aggressive		POINT
1363.879	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1393.130	D:/A1B/GX020554.MP4	1417.420	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
