Observations:,,,,,,,,,
,,,,,,,,,
Observation id,tasnia.jennifer.dyad9.a1b.v,,,,,,,,
Observation date,2023-03-27T13:18:16,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,26,NA,NA,NA,90.930,146.196,NA
Dominant,Lateral Side Display,,2,NA,NA,NA,1435.535,NA,NA
Dominant,Chases Female,,225,NA,NA,NA,15.021,22.765,NA
Dominant,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Bite,,7,NA,NA,NA,486.403,717.094,NA
Dominant,head on head fight,,17,NA,NA,NA,181.055,306.958,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,0,NA,NA,NA,NA,NA,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Dominant,Entry /Exit Pot,,6,NA,NA,NA,367.380,494.374,NA
Dominant,bite female,,1,NA,NA,NA,NA,NA,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,107,NA,NA,NA,30.594,28.685,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,3,NA,NA,NA,62.440,84.062,NA
Subordinate,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Female,,149,NA,NA,NA,22.648,27.746,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,1,NA,NA,NA,NA,NA,NA
Subordinate,head on head fight,,9,NA,NA,NA,358.423,369.035,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Subordinate,bite female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,17,NA,NA,NA,180.167,247.788,NA
Subordinate,Flee,,11,NA,NA,NA,222.346,283.179,NA
