Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
29.352	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Subordinate	Foraging	Other		POINT
32.603	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Subordinate	Foraging	Other		POINT
43.135	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Entry/exit pot	Reproductive		POINT
43.385	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases female	Aggressive		POINT
49.385	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases female	Aggressive		POINT
50.882	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases female	Aggressive		POINT
52.632	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases male	Aggressive		POINT
53.386	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Subordinate	Flee	Other		POINT
58.143	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases male	Aggressive		POINT
58.148	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Subordinate	Flee	Other		POINT
62.158	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases female	Aggressive		POINT
65.606	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases male	Aggressive		POINT
66.42	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases male	Aggressive		POINT
66.881	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Subordinate	Flee	Other		POINT
67.409	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4	2762.87	29.97	Dominant	Chases female	Aggressive		POINT
