Observation id	Dyad 9 A1C Foraging Dom ST							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX010556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX030556.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX040556.MP4							
								
Observation date	2024-04-18 09:35:12							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
913.559	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
931.419	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
948.809	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
957.170	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
975.111	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
975.361	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
983.615	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
989.366	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
995.865	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1003.865	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Dig Pot/Substrate	Reproductive		POINT
1050.866	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1068.559	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1079.616	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1080.866	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1084.365	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1084.614	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1085.116	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1085.365	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	bite female	Reproductive		POINT
1091.807	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1100.059	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Foraging	Other		POINT
1104.366	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Mirror	Aggressive		POINT
1105.615	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
1109.116	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Bite	Aggressive		POINT
1114.366	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A1C/GX020556.MP4	2762.870	29.97	Dominant	Chases Female	Aggressive		POINT
