Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
122.902	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
137.154	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
161.658	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
231.916	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
233.414	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
237.921	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
241.658	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
247.66	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
252.406	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
260.658	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
265.415	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
271.911	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
279.911	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
286.169	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
313.914	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
317.673	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
319.477	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
329.221	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
350.483	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
367.722	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
370.533	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
373.528	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
379.273	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
389.778	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
392.786	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
396.05	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Dominant	Chases female	Aggressive		POINT
400.278	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
409.031	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
448.319	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
464.812	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
472.116	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Flee	Other		POINT
483.12	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
500.637	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
507.626	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
512.872	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
520.369	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
528.634	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
534.64	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
538.388	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
551.132	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
553.383	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
555.312	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Dominant	Head on head fight	Aggressive		POINT
559.142	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Head on head fight	Aggressive		POINT
574.132	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
585.473	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
607.226	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
607.977	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
608.741	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
609.989	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
611.762	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Dominant	Chases female	Aggressive		POINT
612.485	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
613.487	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
617.733	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
623.48	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
624.729	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
627.736	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Flee	Other		POINT
628.015	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Dominant	Chases female	Aggressive		POINT
652.533	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Head on head fight	Aggressive		POINT
652.545	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Dominant	Head on head fight	Aggressive		POINT
657.278	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
663.032	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
666.782	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
689.787	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
692.031	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
693.024	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
695.038	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
697.025	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX010535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
709.151	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Dominant	Foraging	Other		POINT
716.614	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
720.13	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Dominant	Foraging	Other		POINT
721.121	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
725.383	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Dominant	Head on head fight	Aggressive		POINT
726.629	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Dominant	Lateral side display	Aggressive		POINT
745.372	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
750.366	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
752.881	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
758.872	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
765.617	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
776.875	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Foraging	Other		POINT
789.874	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
795.627	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
800.371	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
802.121	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
803.369	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
811.878	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2A/GX020535.MP4	2888.46	59.94	Subordinate	Chases female	Aggressive		POINT
