Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
46.102	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Dominant	Chases female	Aggressive		POINT
56.104	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Dominant	Chases female	Aggressive		POINT
75.681	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Subordinate	Flee	Other		POINT
76.351	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Dominant	Chases male	Aggressive		POINT
78.93	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Subordinate	Chases female	Aggressive		POINT
79.181	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Subordinate	Bite	Aggressive		POINT
116.188	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Subordinate	Chases female	Aggressive		POINT
120.104	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Dominant	Lateral side display	Aggressive		POINT
120.104	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Subordinate	Lateral side display	Aggressive		POINT
129.719	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2B/GH010530.MP4	2862.96	59.94	Dominant	Bite	Aggressive		POINT
