Observations:,,,,,,,,,
,,,,,,,,,
Observation id,tasnia.jennifer.dyad9.a2b,,,,,,,,
Observation date,2023-03-30T15:06:24,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,24,NA,NA,NA,99.860,110.670,NA
Dominant,Lateral Side Display,,1,NA,NA,NA,NA,NA,NA
Dominant,Chases Female,,123,NA,NA,NA,22.636,31.642,NA
Dominant,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Bite,,5,NA,NA,NA,286.229,220.440,NA
Dominant,head on head fight,,0,NA,NA,NA,NA,NA,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,0,NA,NA,NA,NA,NA,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,1,NA,NA,NA,NA,NA,NA
Dominant,Entry /Exit Pot,,10,NA,NA,NA,188.773,275.941,NA
Dominant,bite female,,0,NA,NA,NA,NA,NA,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,130,NA,NA,NA,20.905,33.627,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,2,NA,NA,NA,2.006,NA,NA
Subordinate,Lateral Side Display,,1,NA,NA,NA,NA,NA,NA
Subordinate,Chases Female,,20,NA,NA,NA,90.089,126.592,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,1,NA,NA,NA,NA,NA,NA
Subordinate,head on head fight,,0,NA,NA,NA,NA,NA,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Subordinate,bite female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,57,NA,NA,NA,47.185,75.729,NA
Subordinate,Flee,,18,NA,NA,NA,122.312,129.405,NA
