Observation id	tasnia.jennifer.dyad9.a2c							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX010553.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX030553.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX040553.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX050553.MP4							
								
Observation date	2023-04-07 13:31:07							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
227.226	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX010553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
912.653	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
942.539	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1072.292	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1113.537	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1126.265	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1307.275	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX020553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1604.083	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX030553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
1808.835	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX030553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
2470.300	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX040553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
2754.048	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX040553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
2776.055	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX040553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
2798.551	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX040553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
2934.507	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Blue/A2C/GX050553.MP4	2951.420	29.97	Dominant	Foraging	Other		POINT
