Observations:,,,,,,,,,
,,,,,,,,,
Observation id,tasnia.jennifer.dyad9.a2c,,,,,,,,
Observation date,2023-04-07T13:31:07,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Dominant,Chases Female,,8,NA,NA,NA,25.810,27.597,NA
Dominant,Quiver Male,,1,NA,NA,NA,NA,NA,NA
Dominant,Bite,,5,NA,NA,NA,51.616,31.815,NA
Dominant,head on head fight,,0,NA,NA,NA,NA,NA,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,0,NA,NA,NA,NA,NA,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Dominant,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Dominant,bite female,,0,NA,NA,NA,NA,NA,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,2,NA,NA,NA,41.355,NA,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lateral Side Display,,1,NA,NA,NA,NA,NA,NA
Subordinate,Chases Female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,0,NA,NA,NA,NA,NA,NA
Subordinate,head on head fight,,0,NA,NA,NA,NA,NA,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Subordinate,bite female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,0,NA,NA,NA,NA,NA,NA
Subordinate,Flee,,0,NA,NA,NA,NA,NA,NA
