Observations:									
									
Observation id	raven_dyad9A2D (imported at 2023-02-22 12:33:55)								
Observation date	2023-02-16T13:44:49								
Description									
Independent variables:									
									
									
Time budget:									
Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
									
No focal subject	Chases Male		0	NA	NA	NA	NA	NA	NA
No focal subject	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
No focal subject	Chases Female		1	NA	NA	NA	NA	NA	NA
No focal subject	Quiver Male		0	NA	NA	NA	NA	NA	NA
No focal subject	Bite		0	NA	NA	NA	NA	NA	NA
No focal subject	head on head fight		0	NA	NA	NA	NA	NA	NA
No focal subject	Mirror		0	NA	NA	NA	NA	NA	NA
No focal subject	Quiver female		0	NA	NA	NA	NA	NA	NA
No focal subject	Lead		0	NA	NA	NA	NA	NA	NA
No focal subject	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
No focal subject	Entry /Exit Pot		0	NA	NA	NA	NA	NA	NA
No focal subject	bite female		0	NA	NA	NA	NA	NA	NA
No focal subject	Circle		0	NA	NA	NA	NA	NA	NA
No focal subject	Foraging		1	NA	NA	NA	NA	NA	NA
No focal subject	Flee		1	NA	NA	NA	NA	NA	NA
Dominant	Chases Male		82	NA	NA	NA	36.781	80.892	NA
Dominant	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Dominant	Chases Female		359	NA	NA	NA	9.106	11.446	NA
Dominant	Quiver Male		4	NA	NA	NA	216.134	197.072	NA
Dominant	Bite		0	NA	NA	NA	NA	NA	NA
Dominant	head on head fight		0	NA	NA	NA	NA	NA	NA
Dominant	Mirror		0	NA	NA	NA	NA	NA	NA
Dominant	Quiver female		0	NA	NA	NA	NA	NA	NA
Dominant	Lead		0	NA	NA	NA	NA	NA	NA
Dominant	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
Dominant	Entry /Exit Pot		7	NA	NA	NA	514.629	733.806	NA
Dominant	bite female		0	NA	NA	NA	NA	NA	NA
Dominant	Circle		0	NA	NA	NA	NA	NA	NA
Dominant	Foraging		198	NA	NA	NA	15.728	11.949	NA
Dominant	Flee		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Female		81	NA	NA	NA	18.400	22.258	NA
Subordinate	Quiver Male		1	NA	NA	NA	NA	NA	NA
Subordinate	Bite		0	NA	NA	NA	NA	NA	NA
Subordinate	head on head fight		0	NA	NA	NA	NA	NA	NA
Subordinate	Mirror		0	NA	NA	NA	NA	NA	NA
Subordinate	Quiver female		0	NA	NA	NA	NA	NA	NA
Subordinate	Lead		0	NA	NA	NA	NA	NA	NA
Subordinate	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
Subordinate	Entry /Exit Pot		0	NA	NA	NA	NA	NA	NA
Subordinate	bite female		0	NA	NA	NA	NA	NA	NA
Subordinate	Circle		0	NA	NA	NA	NA	NA	NA
Subordinate	Foraging		83	NA	NA	NA	20.255	16.749	NA
Subordinate	Flee		25	NA	NA	NA	52.395	44.037	NA
