Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
90.741	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Subordinate	Bite	Aggressive		POINT
92.245	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Subordinate	Bite	Aggressive		POINT
114.017	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Subordinate	Bite	Aggressive		POINT
142.295	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Subordinate	Bite	Aggressive		POINT
163.313	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Bite	Aggressive		POINT
165.77	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Entry/exit pot	Reproductive		POINT
166.07	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Chases female	Aggressive		POINT
170.729	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Entry/exit pot	Reproductive		POINT
189.59	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Chases female	Aggressive		POINT
189.59	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Entry/exit pot	Reproductive		POINT
196.348	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Entry/exit pot	Reproductive		POINT
208.608	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Chases male	Aggressive		POINT
208.608	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Entry/exit pot	Reproductive		POINT
211.866	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Chases female	Aggressive		POINT
212.864	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2F/GH010571.MP4	2991.62	59.94	Dominant	Chases female	Aggressive		POINT
