Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
140.786	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
144.278	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
146.545	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
147.351	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
151.911	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
154.435	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
157.805	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
159.306	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
163.645	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
173.563	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
240.642	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
245.149	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Foraging	Other		POINT
264.164	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
316.663	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
474.975	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
478.631	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
499.901	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Dominant	Chases female	Aggressive		POINT
648.023	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
663.05	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
665.052	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4	3003.11	59.94	Subordinate	Chases female	Aggressive		POINT
861.507	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Foraging	Other		POINT
1115.27	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Chases female	Aggressive		POINT
1177.156	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1180.415	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1194.901	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1217.624	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Dig pot/substrate	Reproductive		POINT
1284.439	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
1298.702	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
1299.455	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
1356.623	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1360.873	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Subordinate	Chases female	Aggressive		POINT
1367.742	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
1377.032	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.11	59.94	Dominant	Entry/exit pot	Reproductive		POINT
1440.081	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
1443.321	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1446.581	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1484.845	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Dominant	Chases female	Aggressive		POINT
1493.831	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
1500.43	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Chases female	Aggressive		POINT
1602.258	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Flee	Other		POINT
1618.028	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Flee	Other		POINT
1879.151	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1887.896	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
1897.053	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Dominant	Chases female	Aggressive		POINT
1897.804	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Dominant	Bite	Aggressive		POINT
1902.653	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4	3003.11	59.94	Subordinate	Foraging	Other		POINT
