Observations:									
									
Observation id	Daniel_Dyad9_A2G								
Observation date	2023-04-05T13:21:42								
Description									
Independent variables:									
									
									
Time budget:									
Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
									
Dominant	Chases Male		1	NA	NA	NA	NA	NA	NA
Dominant	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Dominant	Chases Female		9	NA	NA	NA	257.629	217.113	NA
Dominant	Quiver Male		0	NA	NA	NA	NA	NA	NA
Dominant	Bite		12	NA	NA	NA	159.729	366.659	NA
Dominant	head on head fight		0	NA	NA	NA	NA	NA	NA
Dominant	Mirror		0	NA	NA	NA	NA	NA	NA
Dominant	Quiver female		0	NA	NA	NA	NA	NA	NA
Dominant	Lead		0	NA	NA	NA	NA	NA	NA
Dominant	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
Dominant	Entry /Exit Pot		9	NA	NA	NA	142.049	272.885	NA
Dominant	bite female		0	NA	NA	NA	NA	NA	NA
Dominant	Circle		0	NA	NA	NA	NA	NA	NA
Dominant	Foraging		2	NA	NA	NA	616.358	NA	NA
Dominant	Flee		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Female		7	NA	NA	NA	335.934	288.772	NA
Subordinate	Quiver Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Bite		0	NA	NA	NA	NA	NA	NA
Subordinate	head on head fight		0	NA	NA	NA	NA	NA	NA
Subordinate	Mirror		0	NA	NA	NA	NA	NA	NA
Subordinate	Quiver female		0	NA	NA	NA	NA	NA	NA
Subordinate	Lead		0	NA	NA	NA	NA	NA	NA
Subordinate	Dig Pot/Substrate		1	NA	NA	NA	NA	NA	NA
Subordinate	Entry /Exit Pot		9	NA	NA	NA	290.592	359.436	NA
Subordinate	bite female		0	NA	NA	NA	NA	NA	NA
Subordinate	Circle		0	NA	NA	NA	NA	NA	NA
Subordinate	Foraging		43	NA	NA	NA	42.907	94.660	NA
Subordinate	Flee		4	NA	NA	NA	291.651	291.933	NA
