Observation id	Dyad 9 St A2G							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH010547.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH030547.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH040547.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH050547.MP4							
								
Observation date	2024-04-18 10:31:18							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1112.260	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.110	59.94	Dominant	Foraging	Other		POINT
1220.510	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH020547.MP4	3003.110	59.94	Dominant	Foraging	Other		POINT
2525.045	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/A2G/GH040547.MP4	3003.110	59.94	Dominant	Foraging	Other		POINT
