Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
16.661	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
17.661	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
20.668	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
22.161	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
25.665	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
27.161	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
29.163	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
31.161	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
32.666	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
33.661	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
36.161	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
37.165	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
38.66	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
42.16	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
44.418	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
52.94	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
57.161	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Chases female	Aggressive		POINT
94.445	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
118.306	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Chases female	Aggressive		POINT
126.775	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
128.692	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
129.48	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
133.183	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
133.285	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases male	Aggressive		POINT
133.285	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
138.035	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
149.29	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
149.29	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
157.787	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
222.123	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
227.88	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
229.385	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
232.361	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Foraging	Other		POINT
234.386	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
263.656	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Chases female	Aggressive		POINT
266.421	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
267.916	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
269.422	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases male	Aggressive		POINT
269.422	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
269.422	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
276.992	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Bite	Aggressive		POINT
285.692	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
287.187	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Bite	Aggressive		POINT
306.746	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
330.415	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
336.985	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
345	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
347.126	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
349.999	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
351.376	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Foraging	Other		POINT
351.499	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
353.755	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
355.008	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
355.008	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
355.008	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
367.504	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
377.785	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
378.032	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
381.541	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Bite	Aggressive		POINT
381.541	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
387.505	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
398.041	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
401.809	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Chases female	Aggressive		POINT
411.052	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
411.306	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
411.814	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
411.814	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
414.822	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
414.822	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Flee	Other		POINT
415.842	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Chases female	Aggressive		POINT
447.013	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Bite	Aggressive		POINT
465.618	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
467.876	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
468.2	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Subordinate	Foraging	Other		POINT
480.572	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230209_Dyad9/Yellow/B2D/GH010531.MP4	3346.24	59.94	Dominant	Entry/exit pot	Reproductive		POINT
