Observations:									
									
Observation id	Daniel_Dyad9_B2D								
Observation date	2023-04-21T10:27:35								
Description									
Independent variables:									
									
									
Time budget:									
Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
									
Dominant	Chases Male		29	NA	NA	NA	107.691	101.072	NA
Dominant	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Dominant	Chases Female		88	NA	NA	NA	36.816	40.757	NA
Dominant	Quiver Male		0	NA	NA	NA	NA	NA	NA
Dominant	Bite		16	NA	NA	NA	145.525	187.661	NA
Dominant	head on head fight		0	NA	NA	NA	NA	NA	NA
Dominant	Mirror		0	NA	NA	NA	NA	NA	NA
Dominant	Quiver female		0	NA	NA	NA	NA	NA	NA
Dominant	Lead		0	NA	NA	NA	NA	NA	NA
Dominant	Dig Pot/Substrate		6	NA	NA	NA	361.703	255.029	NA
Dominant	Entry /Exit Pot		111	NA	NA	NA	29.889	26.808	NA
Dominant	bite female		0	NA	NA	NA	NA	NA	NA
Dominant	Circle		0	NA	NA	NA	NA	NA	NA
Dominant	Foraging		26	NA	NA	NA	115.907	104.679	NA
Dominant	Flee		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Female		22	NA	NA	NA	148.315	131.842	NA
Subordinate	Quiver Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Bite		5	NA	NA	NA	209.250	110.205	NA
Subordinate	head on head fight		0	NA	NA	NA	NA	NA	NA
Subordinate	Mirror		0	NA	NA	NA	NA	NA	NA
Subordinate	Quiver female		0	NA	NA	NA	NA	NA	NA
Subordinate	Lead		0	NA	NA	NA	NA	NA	NA
Subordinate	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
Subordinate	Entry /Exit Pot		0	NA	NA	NA	NA	NA	NA
Subordinate	bite female		0	NA	NA	NA	NA	NA	NA
Subordinate	Circle		0	NA	NA	NA	NA	NA	NA
Subordinate	Foraging		36	NA	NA	NA	57.534	137.409	NA
Subordinate	Flee		31	NA	NA	NA	100.512	78.726	NA
