Time	Media file path	Total length	fPS	Subject	Behavior	Behavioral category	Comment	Status
14.876	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Bite	Aggressive		POINT
14.876	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Entry/exit pot	Reproductive		POINT
19.173	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
23.377	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Entry/exit pot	Reproductive		POINT
65.883	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Entry/exit pot	Reproductive		POINT
107.716	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Foraging	Other		POINT
128.033	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Chases female	Aggressive		POINT
175.372	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Bite	Aggressive		POINT
176.327	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Bite	Aggressive		POINT
176.39	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Flee	Other		POINT
255.91	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Bite	Aggressive		POINT
256.913	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases male	Aggressive		POINT
256.913	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Flee	Other		POINT
259.16	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
262.538	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases male	Aggressive		POINT
262.538	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Flee	Other		POINT
265.657	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases male	Aggressive		POINT
265.657	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Flee	Other		POINT
286.661	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
300.37	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
320.221	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Chases female	Aggressive		POINT
322.331	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases male	Aggressive		POINT
322.331	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Flee	Other		POINT
364.836	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Chases female	Aggressive		POINT
370.503	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Subordinate	Bite	Aggressive		POINT
370.781	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
374.754	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases female	Aggressive		POINT
418.676	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A1B/Videos/GX010538.MP4	3418.08	59.94	Dominant	Chases male	Aggressive		POINT
