Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
52.691	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Chases female	Aggressive		POINT
92.994	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
130.523	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
132.523	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
132.532	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Bite	Aggressive		POINT
154.042	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
171.68	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases female	Aggressive		POINT
171.68	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
184.59	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Bite	Aggressive		POINT
207.861	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
207.861	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
209.361	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Chases female	Aggressive		POINT
223.376	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
236.389	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
342.651	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases female	Aggressive		POINT
355.421	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
356.259	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
417.141	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
419.318	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
427.073	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
430.332	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
440.552	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Bite	Aggressive		POINT
440.552	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
442.68	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
445.096	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
452.612	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
452.612	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
463.254	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases female	Aggressive		POINT
514.332	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
550.513	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases female	Aggressive		POINT
596.749	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
596.749	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
601.016	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
601.016	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
632.793	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
651.961	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Entry/exit pot	Reproductive		POINT
667.568	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
667.568	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
676.081	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
676.081	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
688.851	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX010560.MP4	3356.39	29.97	Dominant	Dig pot/substrate	Reproductive		POINT
717.87	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.39	29.97	Dominant	Chases female	Aggressive		POINT
717.87	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
748.655	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
748.655	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.39	29.97	Subordinate	Flee	Other		POINT
905.22	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2A/Videos/GX020560.MP4	3356.39	29.97	Dominant	Chases male	Aggressive		POINT
