Observations:									
									
Observation id	Daniel_Dyad10_A2A								
Observation date	2023-05-11T14:30:57								
Description									
Independent variables:									
									
									
Time budget:									
Subject	Behavior	Modifiers	Total number of occurences	Total duration (s)	Duration mean (s)	Duration std dev	inter-event intervals mean (s)	inter-event intervals std dev	% of total length
									
Dominant	Chases Male		18	NA	NA	NA	132.453	232.558	NA
Dominant	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Dominant	Chases Female		27	NA	NA	NA	96.208	108.782	NA
Dominant	Quiver Male		0	NA	NA	NA	NA	NA	NA
Dominant	Bite		7	NA	NA	NA	523.066	390.682	NA
Dominant	head on head fight		0	NA	NA	NA	NA	NA	NA
Dominant	Mirror		0	NA	NA	NA	NA	NA	NA
Dominant	Quiver female		0	NA	NA	NA	NA	NA	NA
Dominant	Lead		0	NA	NA	NA	NA	NA	NA
Dominant	Dig Pot/Substrate		1	NA	NA	NA	NA	NA	NA
Dominant	Entry /Exit Pot		12	NA	NA	NA	293.407	590.853	NA
Dominant	bite female		0	NA	NA	NA	NA	NA	NA
Dominant	Circle		0	NA	NA	NA	NA	NA	NA
Dominant	Foraging		1	NA	NA	NA	NA	NA	NA
Dominant	Flee		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Lateral Side Display		0	NA	NA	NA	NA	NA	NA
Subordinate	Chases Female		5	NA	NA	NA	550.816	502.683	NA
Subordinate	Quiver Male		0	NA	NA	NA	NA	NA	NA
Subordinate	Bite		0	NA	NA	NA	NA	NA	NA
Subordinate	head on head fight		0	NA	NA	NA	NA	NA	NA
Subordinate	Mirror		0	NA	NA	NA	NA	NA	NA
Subordinate	Quiver female		0	NA	NA	NA	NA	NA	NA
Subordinate	Lead		0	NA	NA	NA	NA	NA	NA
Subordinate	Dig Pot/Substrate		0	NA	NA	NA	NA	NA	NA
Subordinate	Entry /Exit Pot		0	NA	NA	NA	NA	NA	NA
Subordinate	bite female		0	NA	NA	NA	NA	NA	NA
Subordinate	Circle		0	NA	NA	NA	NA	NA	NA
Subordinate	Foraging		0	NA	NA	NA	NA	NA	NA
Subordinate	Flee		26	NA	NA	NA	108.128	134.306	NA
