Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
7.084	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
9.209	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
25.503	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
26.928	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
26.928	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Entry/exit pot	Reproductive		POINT
30.178	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Entry/exit pot	Reproductive		POINT
38.178	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
38.178	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Entry/exit pot	Reproductive		POINT
50.953	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Chases female	Aggressive		POINT
51.714	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Dominant	Bite	Aggressive		POINT
53.205	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2B/Videos/GH010551.MP4	3389.3	59.94	Subordinate	Chases female	Aggressive		POINT
