Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
45.943	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases male	Aggressive		POINT
45.943	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Entry/exit pot	Reproductive		POINT
45.946	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
68.719	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Entry/exit pot	Reproductive		POINT
69.425	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
73.675	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
81.468	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
97.762	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
106.971	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
114.261	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
123.973	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Subordinate	Bite	Aggressive		POINT
132.286	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
149.54	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
153.439	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Subordinate	Bite	Aggressive		POINT
154.305	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Subordinate	Bite	Aggressive		POINT
159.394	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
165.061	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
172.146	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
174.979	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
227.876	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
236.612	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
245.113	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Bite	Aggressive		POINT
252.146	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
259.281	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Chases female	Aggressive		POINT
273.45	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/A2C/Videos/GH010574.MP4	3401.83	59.94	Dominant	Foraging	Other		POINT
