Observations:,,,,,,,,,
,,,,,,,,,
Observation id,Daniel_Dyad10_A2C,,,,,,,,
Observation date,2023-05-22T15:41:00,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,30,NA,NA,NA,114.005,139.575,NA
Dominant,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Dominant,Chases Female,,54,NA,NA,NA,59.522,66.153,NA
Dominant,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Bite,,20,NA,NA,NA,145.132,164.758,NA
Dominant,head on head fight,,0,NA,NA,NA,NA,NA,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,0,NA,NA,NA,NA,NA,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,2,NA,NA,NA,7.547,NA,NA
Dominant,Entry /Exit Pot,,17,NA,NA,NA,208.068,256.960,NA
Dominant,bite female,,4,NA,NA,NA,69.661,61.621,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,26,NA,NA,NA,109.569,189.896,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lateral Side Display,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Female,,21,NA,NA,NA,132.723,137.243,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,22,NA,NA,NA,108.725,159.477,NA
Subordinate,head on head fight,,0,NA,NA,NA,NA,NA,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,2,NA,NA,NA,28.750,NA,NA
Subordinate,bite female,,6,NA,NA,NA,101.813,131.070,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,3,NA,NA,NA,93.351,121.710,NA
Subordinate,Flee,,29,NA,NA,NA,106.261,132.657,NA
