Time	Media file path	Total length	fPS	Subject	Behavior	Behavioral category	Comment	Status
17.168	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
18.668	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
65.423	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
75.092	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
85.718	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
90.738	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
97.507	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Chases female	Aggressive		POINT
121.495	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
140.267	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Chases female	Aggressive		POINT
144.037	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
165.492	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
172.854	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
201.899	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
216.124	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
254.322	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
349.959	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Chases female	Aggressive		POINT
351.376	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
369.507	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
384.672	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
385.257	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
399.541	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
492.352	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
502.978	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Chases female	Aggressive		POINT
531.185	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Subordinate	Bite	Aggressive		POINT
648.204	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
668.748	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010536.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
736.139	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
742.889	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Chases female	Aggressive		POINT
755.882	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
771.467	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
839.252	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
848.502	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
848.502	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Entry/exit pot	Reproductive		POINT
891.19	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Chases male	Aggressive		POINT
891.19	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
908.192	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
924.611	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Chases male	Aggressive		POINT
924.611	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
966.283	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
993.911	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Blue/C2A/Videos/GH010537.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
