Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
110.464	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Bite female	Reproductive		POINT
259.364	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Bite	Aggressive		POINT
260.363	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Flee	Other		POINT
276.628	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Bite female	Reproductive		POINT
285.391	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Bite	Aggressive		POINT
290.139	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
303.643	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Entry/exit pot	Reproductive		POINT
344.949	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Chases male	Aggressive		POINT
345.446	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Flee	Other		POINT
478.832	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Chases female	Aggressive		POINT
526.88	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Entry/exit pot	Reproductive		POINT
534.379	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Entry/exit pot	Reproductive		POINT
537.888	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Dominant	Bite	Aggressive		POINT
538.889	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2E/Videos/GH010573.MP4	3390.77	59.94	Subordinate	Flee	Other		POINT
