Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
15.369	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Bite female	Reproductive		POINT
60.665	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
60.666	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Bite female	Reproductive		POINT
61.164	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
80.051	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
82.687	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases female	Aggressive		POINT
85.189	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
94.945	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
95.194	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Bite female	Reproductive		POINT
95.698	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Chases female	Aggressive		POINT
96.703	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Bite female	Reproductive		POINT
106.21	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/A2F/Videos/GX010537.MP4	3398.61	59.94	Dominant	Entry/exit pot	Reproductive		POINT
