Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
138.337	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Subordinate	Bite female	Reproductive		POINT
161.748	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Entry/exit pot	Reproductive		POINT
163.266	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
167.774	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Entry/exit pot	Reproductive		POINT
228.434	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Entry/exit pot	Reproductive		POINT
229.579	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Chases female	Aggressive		POINT
230.081	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
249.717	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
252.604	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Chases female	Aggressive		POINT
255.859	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
257.105	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Chases female	Aggressive		POINT
261.618	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
294.411	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Entry/exit pot	Reproductive		POINT
307.89	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Entry/exit pot	Reproductive		POINT
308.409	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
309.915	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
311.162	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Subordinate	Bite female	Reproductive		POINT
334.441	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Chases female	Aggressive		POINT
353.957	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Foraging	Other		POINT
355.706	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Subordinate	Bite female	Reproductive		POINT
380.482	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
384.48	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2C/Videos/GX010559.MP4	3372.11	29.97	Dominant	Bite female	Reproductive		POINT
