Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
13.614	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Chases female	Aggressive		POINT
33.141	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
62.664	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
70.667	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
78.433	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
81.679	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
106.708	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases male	Aggressive		POINT
108.216	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Flee	Other		POINT
110.217	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
124.983	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
126.73	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
132.734	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
135.24	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
140.495	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
143.246	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Bite female	Reproductive		POINT
147.75	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
152.503	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
159.01	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
197.649	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite	Aggressive		POINT
198.301	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Flee	Other		POINT
228.819	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
233.087	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
270.371	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Chases female	Aggressive		POINT
273.093	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
279.826	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
315.247	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
318.789	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
327.183	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
341.694	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
355.627	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
359.463	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
360.968	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
363.216	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
364.718	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
374.224	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
379.733	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
386.991	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
405.76	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Quiver male	Aggressive		POINT
408.51	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
437.095	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
456.931	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
483.142	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
489.226	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
532.841	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite	Aggressive		POINT
533.841	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Flee	Other		POINT
539.816	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
560.36	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite	Aggressive		POINT
561.162	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Flee	Other		POINT
575.945	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
583.187	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
593.949	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
637.757	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Foraging	Other		POINT
641.828	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Bite female	Reproductive		POINT
644.493	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Subordinate	Bite female	Reproductive		POINT
644.662	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
651.038	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
666.024	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
668.02	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Bite female	Reproductive		POINT
670.274	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
677.249	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
684.334	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
726.333	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.17	59.94	Dominant	Quiver male	Aggressive		POINT
727.58	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
730.601	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
738.172	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
743.131	C:/Users/qcbio/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.17	59.94	Dominant	Chases female	Aggressive		POINT
