Observation id	STB2D							
								
Media file(s)								
								
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH010550.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH030550.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH040550.MP4							
Player #1	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH050550.MP4							
								
Observation date	2024-03-21 20:21:29							
								
Description								
								
Time offset (s)	0.000							
								
independent variables								
variable	value							
								
Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
1046.312	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1068.809	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1122.058	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1156.060	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1198.060	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1337.559	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH020550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1489.831	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH030550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1660.831	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH030550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
1724.330	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230313_Dyad10/Yellow/B2D/Videos/GH030550.MP4	3375.170	59.94	Dominant	Foraging	Other		POINT
