Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
905.803	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
911.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
925.282	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Foraging	Other		POINT
928.532	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
936.803	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
942.804	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
946.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
950.804	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
956.552	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
963.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
966.303	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
966.535	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
972.804	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
973.37	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
977.803	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
982.302	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
994.871	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Foraging	Other		POINT
1011.053	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
1017.306	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
1020.122	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1020.307	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases male	Aggressive		POINT
1025.557	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
1028.057	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
1034.935	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases male	Aggressive		POINT
1035.12	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1037.184	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
1038.371	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
1040.622	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Foraging	Other		POINT
1041.372	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Bite female	Reproductive		POINT
1041.684	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
1044.683	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
1049.12	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Subordinate	Foraging	Other		POINT
1051.197	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
1060.201	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
1063.45	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Chases female	Aggressive		POINT
1078.201	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Foraging	Other		POINT
1100.451	C:/Users/qbiol/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1B/Videos/GX020533.MP4	3538.55	59.94	Dominant	Bite female	Reproductive		POINT
