Observations:,,,,,,,,,
,,,,,,,,,
Observation id,Dyad11_A1B,,,,,,,,
Observation date,2023-06-28T10:11:56,,,,,,,,
Description,,,,,,,,,
Independent variables:,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Time budget:,,,,,,,,,
Subject,Behavior,Modifiers,Total number of occurences,Total duration (s),Duration mean (s),Duration std dev,inter-event intervals mean (s),inter-event intervals std dev,% of total length
,,,,,,,,,
Dominant,Chases Male,,23,NA,NA,NA,111.562,132.550,NA
Dominant,Lateral Side Display,,4,NA,NA,NA,706.358,1192.275,NA
Dominant,Chases Female,,76,NA,NA,NA,34.908,39.380,NA
Dominant,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Dominant,Bite,,22,NA,NA,NA,113.946,114.648,NA
Dominant,head on head fight,,0,NA,NA,NA,NA,NA,NA
Dominant,Mirror,,0,NA,NA,NA,NA,NA,NA
Dominant,Quiver female,,3,NA,NA,NA,64.709,67.468,NA
Dominant,Lead,,0,NA,NA,NA,NA,NA,NA
Dominant,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Dominant,Entry /Exit Pot,,12,NA,NA,NA,78.464,101.468,NA
Dominant,bite female,,92,NA,NA,NA,27.130,37.875,NA
Dominant,Circle,,0,NA,NA,NA,NA,NA,NA
Dominant,Foraging,,72,NA,NA,NA,36.822,23.967,NA
Dominant,Flee,,0,NA,NA,NA,NA,NA,NA
Subordinate,Chases Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Lateral Side Display,,4,NA,NA,NA,634.557,227.005,NA
Subordinate,Chases Female,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver Male,,0,NA,NA,NA,NA,NA,NA
Subordinate,Bite,,0,NA,NA,NA,NA,NA,NA
Subordinate,head on head fight,,0,NA,NA,NA,NA,NA,NA
Subordinate,Mirror,,0,NA,NA,NA,NA,NA,NA
Subordinate,Quiver female,,2,NA,NA,NA,505.396,NA,NA
Subordinate,Lead,,0,NA,NA,NA,NA,NA,NA
Subordinate,Dig Pot/Substrate,,0,NA,NA,NA,NA,NA,NA
Subordinate,Entry /Exit Pot,,0,NA,NA,NA,NA,NA,NA
Subordinate,bite female,,39,NA,NA,NA,66.901,84.888,NA
Subordinate,Circle,,0,NA,NA,NA,NA,NA,NA
Subordinate,Foraging,,14,NA,NA,NA,199.527,252.272,NA
Subordinate,Flee,,46,NA,NA,NA,56.585,69.997,NA
