Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
899.556	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Lateral side display	Aggressive		POINT
903.245	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases male	Aggressive		POINT
903.252	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
911.499	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite female	Reproductive		POINT
916.994	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite female	Reproductive		POINT
917.499	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases female	Aggressive		POINT
919.998	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases male	Aggressive		POINT
919.998	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
926.997	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
934.5	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases female	Aggressive		POINT
936.001	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite female	Reproductive		POINT
937.001	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
939.592	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite female	Reproductive		POINT
948.343	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases female	Aggressive		POINT
953.842	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
955.341	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite female	Reproductive		POINT
956.751	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
956.842	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Bite	Aggressive		POINT
965.092	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases female	Aggressive		POINT
965.839	/Users/anastasia/Desktop/A1C/GX020565.MP4	3543.55	29.97	Dominant	Chases female	Aggressive		POINT
