Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Lateral Side Display	Aggressive	POINT	899.556	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Chases Male	Aggressive	POINT	903.245	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Subordinate	Flee	Other	POINT	903.252	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	bite female	Reproductive	POINT	911.499	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	bite female	Reproductive	POINT	916.994	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Chases Female	Aggressive	POINT	917.499	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Chases Male	Aggressive	POINT	919.998	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Subordinate	Flee	Other	POINT	919.998	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Quiver female	Reproductive	POINT	926.997	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
AM_Dyad11_A1C	2023-07-10 10:32:22		2640.280	Media file(s)	player #1:C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX010565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX030565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX040565.MP4;C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX050565.MP4	708.708;708.708;708.708;708.708;708.708	29.970;29.970;29.970;29.970;29.970	Dominant	Chases Female	Aggressive	POINT	934.500	C:/Users/Queens College/Dropbox (Queens College)/2023/Dyad/230418_Dyad11/Blue/A1C/Videos/GX020565.MP4	NA	NA	
