Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path		Dom Foraging latency
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	START	910.311	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Subordinate	Bite female	Reproductive	POINT	921.072	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	STOP	925.316	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		18.75807692
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Bite female	Reproductive	POINT	964.158	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	START	976.316	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Subordinate	Bite female	Reproductive	POINT	1012.901	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Subordinate	Bite female	Reproductive	POINT	1018.651	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	STOP	1022.316	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Chases female	Aggressive	POINT	1023.427	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Subordinate	Flee	Other	POINT	1024.373	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	START	1029.677	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Subordinate	Flee	Other	POINT	1039.026	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	STOP	1039.25	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
D11_A2B	1/22/2024 17:04		2565.563	Media file(s)	player #1:C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX010532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX030532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX040532.MP4;C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX050532.MP4	707.710;707.710;707.710;707.710;707.710	59.940;59.940;59.940;59.940;59.940	Dominant	Chases female	Aggressive	POINT	1040.445	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230418_Dyad11/Blue/A2B/Videos/GX020532.MP4	NA	NA		
