Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
923.805	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
972.058	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
981.806	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1076.232	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1083.172	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Chases male	Aggressive		POINT
1087.056	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1095.5	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
1107.754	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1207.146	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1208.481	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1209.617	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1224.148	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Bite	Aggressive		POINT
1224.375	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1230.524	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1252.381	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1314.117	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1329.723	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1334.737	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1345.996	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1356.503	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1379.292	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1379.982	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1398.532	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Quiver female	Reproductive		POINT
1403.41	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Subordinate	Bite female	Reproductive		POINT
1403.536	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Quiver female	Reproductive		POINT
1408.564	230418_Dyad11\Blue\A2C\Videos\GX020552.MP4	3538.535	59.94005994	Dominant	Chases male	Aggressive		POINT
1417.545	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1420.328	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1429.328	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1556.464	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1562.063	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1564.969	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1569.723	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
1594.223	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1709.793	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1720.624	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1732.684	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1763.254	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1798.738	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
1812.135	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1855.974	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
1872.724	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1894.312	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
1897.301	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
1912.731	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
1913.053	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
1932.305	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
1993.132	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2034.579	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
2039.445	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
2055.832	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Quiver female	Reproductive		POINT
2056.54	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Quiver female	Reproductive		POINT
2068.583	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
2073.976	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
2100.754	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		START
2106.582	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2112.36	230418_Dyad11\Blue\A2C\Videos\GX030552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2126.672	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Dominant	Foraging	Other		STOP
2128.285	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
2130.565	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2134.878	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2135.041	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Dominant	Bite female	Reproductive		POINT
2138.349	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
2138.537	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Dominant	Chases female	Aggressive		POINT
2143.541	230418_Dyad11\Blue\A2C\Videos\GX040552.MP4	3538.535	59.94005994	Subordinate	Flee	Other		POINT
