Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
835.194	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
836.001	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
846.443	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
846.757	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
894.195	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
894.553	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
904.692	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	bite female	Reproductive		POINT
908.942	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	bite female	Reproductive		POINT
921.446	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
921.832	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
936.586	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
960.086	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
962.121	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
983.883	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1005.122	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1029.376	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1045.595	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Quiver female	Reproductive		POINT
1057.876	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	bite female	Reproductive		POINT
1066.215	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1066.958	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1082.873	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1084.375	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1157.876	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1160.066	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1164.32	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1172.966	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1175.323	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Entry /Exit Pot	Reproductive		POINT
1209.57	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	bite female	Reproductive		POINT
1219.073	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1244.82	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1274.822	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1275.435	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1293.436	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1302.939	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1309.688	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1310.22	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1310.831	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1322.221	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Flee	Other		POINT
1325.976	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Subordinate	bite female	Reproductive		POINT
1349.985	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	bite female	Reproductive		POINT
1355.74	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1394.232	/Users/anastasia/Desktop/C2A/GH020577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1430.834	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1435.84	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Subordinate	bite female	Reproductive		POINT
1437.834	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1439.586	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1441.103	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Dominant	Bite Male	Aggressive		POINT
1441.336	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1472.857	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Subordinate	bite female	Reproductive		POINT
1475.362	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1476.612	/Users/anastasia/Desktop/C2A/GH030577.MP4	3538.55	59.94	Dominant	Foraging	Other		START
