Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
878.688	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
938.342	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
939.341	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
940.089	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
941.09	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
941.342	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
974.093	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
974.606	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
976.094	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
976.355	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
1020.106	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1023.352	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Foraging	Other		START
1035.103	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1041.854	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Foraging	Other		STOP
1042.354	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Flee	Other		POINT
1045.607	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Flee	Other		POINT
1055.106	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Flee	Other		POINT
1056.361	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1057.11	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Dominant	Bite	Aggressive		POINT
1061.353	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
1096.112	/Users/anastasia/Desktop/A2D/GX020550.MP4	3538.55	59.94	Subordinate	Flee	Other		POINT
