Observation id	Observation date	Description	Observation duration	Observation type	Source	Media duration (s)	FPS	Subject	Behavior	Behavioral category	Behavior type	Time	Media file name	Image index	Image file path	Comment
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	START	902.718	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	11689	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	STOP	963.246	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	15317	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Chases male	Aggressive	POINT	969.819	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	15711	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Subordinate	Flee	Other	POINT	969.819	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	15711	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	START	988.638	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	16839	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Foraging	Other	STOP	1014.430	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	18387	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Subordinate	Foraging	Other	START	1018.551	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	18632	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Subordinate	Foraging	Other	STOP	1022.355	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	18860	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Dominant	Chases male	Aggressive	POINT	1034.400	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	19599	NA	
D11_A2E	2024-01-18 15:59:22		1503.636	Media file(s)	player #1:230418_Dyad11\Yellow\A2E\Videos\GX010551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX030551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX040551.MP4;230418_Dyad11\Yellow\A2E\Videos\GX050551.MP4	707.707;707.707;707.707;707.707;707.707	59.940;59.940;59.940;59.940;59.940	Subordinate	Flee	Other	POINT	1034.400	230418_Dyad11\Yellow\A2E\Videos\GX020551.MP4	19582	NA	
