Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
900.75	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
912.691	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
930.253	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	bite female	Reproductive		POINT
937.254	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
939.941	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
942.94	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
949.755	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	bite female	Reproductive		POINT
950.943	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
955.197	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
958.503	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
965.441	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
967.441	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
980.942	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
984.942	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
987.689	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
993.194	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
996.693	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
997.192	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1001.942	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1010.693	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1014.441	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1037.663	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1075.415	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
1085.409	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
1086.913	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1110.662	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1124.414	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1154.913	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1156.664	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1159.662	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
1160.662	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1162.163	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Bite	Aggressive		POINT
1162.256	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
1170.413	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1171.004	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
1172.412	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Entry /Exit Pot	Reproductive		POINT
1172.912	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1185.006	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Lateral Side Display	Aggressive		POINT
1193.754	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
1194.832	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1206.333	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Lateral Side Display	Aggressive		POINT
1220.605	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1245.356	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1254.606	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1297.607	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1298.855	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1302.606	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1303.608	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1311.106	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1313.106	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1329.107	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
1336.108	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1339.757	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
1340.105	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Bite	Aggressive		POINT
1345.604	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1348.259	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
1349.606	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1400.854	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1407.105	/Users/anastasia/Desktop/A2F/GX020563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1457.83	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1491.831	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1497.08	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1520.58	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1527.08	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
1570.58	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	Chases Female	Aggressive		POINT
1584.837	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Subordinate	Flee	Other		POINT
1592.585	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Subordinate	Foraging	Other		POINT
1601.831	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1615.08	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1618.832	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	Quiver female	Reproductive		POINT
1620.079	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	bite female	Reproductive		POINT
1624.832	/Users/anastasia/Desktop/A2F/GX030563.MP4	3543.55	29.97	Dominant	Foraging	Other		POINT
