Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
8.656	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases female	Aggressive		POINT
10.909	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite female	Reproductive		POINT
16.911	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite female	Reproductive		POINT
32.933	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite female	Reproductive		POINT
33.432	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases female	Aggressive		POINT
36.686	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
37.438	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
38.437	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
45.446	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
47.197	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
47.197	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
48.945	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
53.952	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
54.202	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
60.202	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
60.95	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
65.452	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
65.704	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
68.452	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
79.48	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
80.23	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
82.478	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Foraging	Other		POINT
83.234	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Chases male	Aggressive		POINT
83.484	C:/Users/Kimberly/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Dominant	Bite	Aggressive		POINT
