Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
921.052	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
940.801	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Quiver female	Reproductive		POINT
941.302	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Flee	Other		POINT
1018.165	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1020.916	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1025.165	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1043.666	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Foraging	Other		START
1045.938	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Foraging	Other		STOP
1046.189	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1050.692	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1052.445	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX010544.MP4	3866.82	29.97	Subordinate	Flee	Other		POINT
1079.474	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Foraging	Other		START
1090.224	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Foraging	Other		STOP
1126.474	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1128.289	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1204.059	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Quiver female	Reproductive		POINT
1204.391	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Bite female	Reproductive		POINT
1208.37	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1211.372	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1216.624	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1220.633	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Bite female	Reproductive		POINT
1223.633	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Bite female	Reproductive		POINT
1228.633	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Bite female	Reproductive		POINT
1244.403	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1255.669	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1261.667	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1272.421	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1284.192	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1294.416	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
1300.459	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Flee	Other		POINT
1302.961	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Flee	Other		POINT
1303.709	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Lateral side display	Aggressive		POINT
1309.708	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Head on head fight	Aggressive		POINT
1310.709	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Lateral side display	Aggressive		POINT
1324.467	C:/Users/mhack/Dropbox (Medgar Evers College)/Dyad/230524_Dyad 12/Blue/A1B/Videos/GX020544.MP4	3866.82	29.97	Subordinate	Chases female	Aggressive		POINT
