Time	Media file path	Total length	FPS	Subject	Behavior	Behavioral category	Comment	Status
42.191	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
45.946	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Lateral side display	Aggressive		POINT
46.194	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Lateral side display	Aggressive		POINT
49.953	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
51.445	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
54.704	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases male	Aggressive		POINT
54.942	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Flee	Other		POINT
59.705	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases male	Aggressive		POINT
59.961	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Flee	Other		POINT
60.456	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
67.966	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Bite female	Reproductive		POINT
71.453	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
98.224	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
102.978	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
108.512	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases female	Aggressive		POINT
123.967	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
148.799	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
150.305	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
151.505	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
153.052	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
165.754	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Entry/exit pot	Reproductive		POINT
182.81	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
186.561	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
191.338	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Bite female	Reproductive		POINT
193.092	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
198.842	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Chases female	Aggressive		POINT
206.254	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases female	Aggressive		POINT
234.634	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases male	Aggressive		POINT
234.885	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Flee	Other		POINT
245.892	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Subordinate	Bite female	Reproductive		POINT
253.154	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Bite female	Reproductive		POINT
273.422	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases female	Aggressive		POINT
274.673	C:/Users/Alvarado Lab/Dropbox (Queens College)/2023/Dyad/230524_Dyad 12/Blue/A2A/Videos/GX010580.MP4	3855.18	29.97	Dominant	Chases female	Aggressive		POINT
