"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36";"...37";"...38";"...39";"...40";"...41";"...42";"...43";"...44";"...45";"...46";"...47";"...48";"...49";"...50";"...51";"...52";"...53";"...54";"...55";"...56"
"1";4974;4953;5143;4946;6279;5991;5683;5999;7366;7773;14413;7167;21664;13532;19237;12840;13762;12323;5811;8486;15685;6269;12451;11774;8483;12354;11109;7629;5300;5188;4467;5949;6869;6699;6293;5074;6770;8416;6570;11709;27625;18244;8664;13120;8070;10592;9579;7369;4951;8345;10250;8074;7370;11358;11072;6837
"2";11068;268;264;880;29;722;42;420;1828;2813;3078;5410;2014;434;0;303;372;1586;144;5214;2782;27901;2725;9893;5212;1614;7654;24477;1591;1;206;18;87;2;44;81;1064;185;1102;4054;666;692;204;102;885;2056;1783;1474;12726;8941;11806;1040;1474;5531;962;18782
"3";498;232;921;4948;121;743;297;717;3655;2108;1617;3888;4544;866;0;917;5092;3471;2575;5574;1913;2635;2123;9702;5577;1860;2538;8694;1589;944;887;51;133;24;150;177;2970;683;1675;8290;1698;1366;1017;588;2905;3411;3206;3047;14412;8254;5634;466;3045;9376;1454;20133
"4";9909;2960;4007;11960;889;6857;5105;3290;6649;3741;7715;9902;13950;2097;122;1644;1089;5705;719;8448;9351;23824;4754;14502;8448;6855;20485;15631;3774;2105;2323;508;1396;423;501;1548;9743;2429;6076;12086;3496;3917;671;1660;4313;4964;2073;2634;13579;9126;11609;2638;2636;11454;2952;11140
"5";46891;41297;17948;26575;7949;25757;30871;25357;15353;20917;13814;11183;12254;14148;8497;16942;19443;17340;12353;10833;21198;9046;11807;13542;10831;11109;19683;8213;24558;13398;19608;4775;14199;2883;4077;6787;15207;9539;19358;6048;6970;17046;2697;6130;18999;15532;8034;5773;10178;16925;8207;5957;5775;6912;10961;7301
"6";28364;8908;3832;18458;1458;11070;6854;5923;15433;18358;5013;19109;5131;7057;191;7638;19900;14128;14642;12203;11610;9691;7887;13874;12203;6977;9316;11866;9173;4726;8840;888;2831;554;137;2044;16732;5069;19405;8364;6298;10681;3257;6217;21845;9104;12049;9919;14563;15732;8983;6684;9925;7098;5912;11615
"7";23427;43777;70947;38602;26026;39653;52994;54246;18154;26398;41295;18448;22327;33314;45866;28724;10198;28484;7776;20517;28885;10937;26410;13599;20513;32131;26149;11652;44258;33623;34933;35611;36374;27328;43702;54228;18622;21027;19698;13924;25434;21803;8019;23907;11822;18974;21179;9786;8593;12385;9581;13586;9790;13968;26347;7862
"8";10158;23105;7721;10924;10940;14052;2349;8903;7499;23911;860;6161;1442;5198;6685;3528;24047;7747;33768;5211;1696;16;831;5078;5209;8020;565;720;10249;14099;12387;1667;5388;5347;2823;7856;2010;12824;2597;1711;3289;4177;17493;4642;16005;3466;8120;18230;872;1804;670;7259;18229;3484;4862;3430
"9";8945;24193;20455;25065;11479;36648;28242;34007;23718;26864;12580;21046;15250;14846;17906;14516;12682;21688;9437;21842;16992;1162;12939;10889;21843;19607;9888;8379;16376;21270;24563;2600;19854;4840;6860;24445;18078;26388;22515;12363;8139;18670;9874;13878;13059;16137;7014;11609;6382;11772;10678;12731;11608;14832;19430;10366
"10";11331;286;44;1885;469;3552;52;207;8472;4325;2773;4144;404;2779;0;526;7070;868;1487;3860;302;195;2142;3631;3859;587;490;1869;1247;108;162;46;131;75;18;89;6087;855;5726;1575;370;1469;440;310;5991;912;5082;4525;5742;2532;1079;2670;4526;866;248;4474
