"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36";"...37";"...38";"...39";"...40";"...41";"...42";"...43";"...44";"...45";"...46";"...47";"...48";"...49";"...50";"...51";"...52";"...53";"...54";"...55";"...56"
"1";4152;3739;4280;5409;7518;6010;6292;4877;14842;15795;49801;23860;47241;32597;39358;38086;14514;29823;7906;35516;19739;32217;11693;21404;35513;35381;19195;34553;4864;4113;5613;8158;16854;5462;7028;5073;22883;17154;17250;40522;69006;29465;25946;49224;20348;36155;31161;25418;13245;26414;26672;19779;25419;19752;22023;17284
"2";4031;122;104;5;55;2;19;43;562;169;43;1202;228;427;33;187;544;768;328;789;114;838;693;1093;789;577;1538;505;436;40;83;1;85;8;31;26;45;350;840;298;341;212;499;39;429;603;925;1891;671;918;1432;865;1892;1484;1111;671
"3";384;246;242;80;95;31;46;73;1426;573;370;1182;739;822;228;525;1847;1315;664;758;184;399;783;1001;758;363;1038;616;114;100;131;1;102;21;165;83;211;257;516;393;562;493;739;129;566;1321;565;1649;1242;1145;1097;857;1648;1758;1631;1020
"4";4179;3255;2283;2839;1325;1794;1561;1553;7335;3289;3006;7053;3345;3759;2931;4183;14510;5416;8310;5239;4606;8453;7607;8685;5244;3684;8036;4444;1477;697;2921;303;1523;559;1775;1653;2617;5372;5116;4210;3037;3936;4017;1327;7743;5888;4200;8041;7713;8277;10502;4747;8042;8339;7896;5227
"5";32240;6553;2578;8929;6702;5835;1589;7955;9110;7550;1311;9094;1716;3248;2658;1317;15761;5636;12723;4337;4055;7168;4135;3320;4336;1607;1395;2202;5998;5606;9120;2703;4731;7014;1632;444;6170;10602;5163;6880;873;4936;4629;2963;8742;2886;10289;6953;16725;2585;5480;3851;6952;2925;3005;4120
"6";3660;1064;49;761;154;140;59;157;1697;683;34;3443;401;235;7;76;1399;1092;1270;582;81;494;151;891;582;47;250;337;997;513;633;277;57;423;36;10;427;1423;2131;855;21;1102;1092;450;1341;985;2042;2856;3646;253;1198;1231;2856;101;604;1262
"7";52338;50056;68510;60050;47741;42348;26968;44583;33098;42236;20711;23435;10276;19869;16305;23440;12700;14184;14974;19683;13071;21336;17996;17576;19673;8111;24061;13292;63522;41190;46517;40443;33902;46106;47650;33051;29149;36146;13437;23474;9123;16729;22115;15831;18056;9835;15377;21993;18733;18262;19354;15177;21985;16597;18052;23842
"8";642;148;84;145;90;135;138;134;292;580;14;628;21;53;3;0;1006;46;2309;43;0;0;3;1;44;15;2;3;198;1263;372;289;133;348;8;0;5;404;60;95;3;94;736;119;51;85;613;578;413;3;9;355;576;31;50;274
"9";1692;1284;1221;1507;1663;5890;807;1987;3201;4014;810;3695;1281;2882;1954;1161;10031;1662;11204;1552;902;451;2181;657;1551;397;1389;602;969;1325;3256;1078;1739;1534;734;686;1650;4176;1707;2429;300;2525;4050;1376;2650;958;1139;4643;5721;1815;755;2526;4644;1429;2476;5263
"10";298;2;0;0;0;0;0;0;870;10;0;399;10;0;0;0;9;89;90;0;0;1;0;101;0;0;9;2;62;39;0;0;0;14;0;0;125;28;1117;9;0;0;166;0;53;72;263;821;561;0;5;271;821;0;7;63
"11";21;20;0;1;0;0;0;0;224;1;0;314;18;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;12;209;1;2;0;90;0;0;17;80;317;0;0;0;25;0;0;0;243;94;260;0;0;51;94;0;0;7
"12";30899;21809;12614;19689;8616;16830;21004;13422;21859;10984;12283;17311;11120;7758;21084;16574;9593;10580;8934;13510;10982;25099;18706;22902;13508;10714;23392;11270;7816;4428;16030;4843;6258;3498;8632;12476;17078;16410;23247;13218;8169;18298;12440;8277;15901;16670;5130;11951;7558;22017;23941;11587;11952;20109;27212;20894
