"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";6479;6546;6249;6816;7266;12543;6083;7540;5882;11128;7800;6148;5904;5859;6688;6120;10674;7307;7063;7452;8569;6504;6675;10289;9107;10277;7047;7697;10222;7366;10859;6223;5560;6822;7334;8536
"2";27;29;2;30;380;31;171;150;10;11;50;1816;1864;1456;18135;2535;2258;838;101;0;68;33;1;182;1155;0;1;32;284;902;1209;619;3510;780;183;375
"3";14;22;24;13;181;0;2264;380;4;9;230;4740;551;181;4959;2246;4614;401;144;2;38;58;0;281;3841;109;29;221;468;609;187;629;1308;94;262;263
"4";272;440;290;77;694;37;1676;750;294;109;83;1021;1510;461;10892;3200;2325;1003;422;192;595;685;61;917;1540;521;141;639;366;1081;721;207;1896;391;324;617
"5";14672;5086;4347;8933;7084;1347;12344;6061;3682;3171;6523;5586;9903;4176;15929;10207;8239;7779;9054;1120;3436;6177;3222;7949;7857;1731;3154;7445;2810;6947;6618;4631;7491;7501;1407;4737
"6";901;299;383;1388;3291;1322;10124;3043;1946;2684;3517;19014;24510;15412;19869;15582;15635;15945;1233;211;928;651;224;1679;13906;1556;1071;5457;1228;11908;7478;4758;11256;8537;2279;2915
"7";15560;4092;10624;11652;2759;1405;440;2554;1080;607;2695;1992;641;1481;3661;3521;8492;879;24804;5297;9091;38410;1269;4599;1492;6618;3582;1788;3250;3668;944;1631;1948;2366;2132;5227
"8";9833;7682;12822;13640;10255;2335;12479;12936;5584;4764;11344;10560;9397;4677;2390;13752;9799;9954;6795;3493;8347;3890;2956;8777;15565;10779;10361;15453;10164;17022;8864;7477;11033;10471;9020;11310
"9";3625;2203;2624;3054;1279;615;4048;2440;575;457;1191;2234;1517;69;2601;7195;9247;238;7170;1638;4069;6383;834;3676;4822;1320;3124;4300;2232;4067;578;950;2617;2193;920;4167
"10";11;33;37;337;1950;166;1383;665;279;157;474;23745;17294;8689;20640;12602;10068;16807;105;17;196;141;31;177;7517;62;153;1013;607;6661;5454;1768;6775;3091;1191;1157
"11";786;733;508;2218;13355;2490;11491;3543;2273;1938;2517;21954;21281;22512;4483;26027;22015;38078;526;247;1566;469;1448;3354;21797;2626;405;6978;1867;27524;26026;13290;19583;8115;10084;6447
"12";538;2077;964;131;360;14;124;926;197;69;627;377;92;188;516;424;919;141;3438;2065;2856;1812;162;226;206;1527;442;289;287;421;108;216;196;177;855;481
"13";96;43;464;15;313;0;0;136;1;2;33;137;4;30;4;5;198;3;4040;3930;3732;2236;187;11;0;2148;39;7;50;349;6;12;54;171;459;953
"14";0;22;0;0;0;0;0;49;0;0;0;0;0;0;14;5;0;28;0;0;5;16;0;0;0;2;0;0;0;0;0;0;0;0;97;0
"15";8612;4530;5764;1554;5335;5614;730;4802;1924;4150;8213;3099;1159;3880;3376;2519;7196;2511;7458;5919;4734;10218;1283;5227;5467;4751;5461;5001;6795;5925;3149;1999;2996;5906;2864;5683
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
