"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";6195;8462;10972;5271;6791;12848;8648;13903;11870;7793;10479;8277;10275;8565;8479;6689;8334;15972;5710;5845;5270;6094;6306;13940;8919;8415;8142;11367;9577;8019;7109;7767;8195;7902;9510;7891
"2";147;28;335;64;33;751;963;25;106;537;653;176;1098;802;2476;2360;325;485;23;50;19;83;1402;592;92;675;12;202;426;2341;1153;1421;6898;669;1160;706
"3";89;7;111;72;55;171;792;0;52;502;198;11;37;41;1613;360;195;84;67;63;21;116;368;138;419;354;0;92;44;398;1107;363;3626;306;69;136
"4";2979;223;1709;921;1317;2627;6726;172;1357;6936;2644;2955;5278;822;7795;3833;1421;1901;1685;1224;1069;2102;5064;4415;7946;3699;50;1588;5254;9037;6180;2058;15127;4668;2861;1036
"5";21148;6813;10570;7403;17882;17960;18171;5431;13137;33587;26106;9177;13624;7110;18460;21758;9083;10486;21899;13962;9621;10053;27338;9369;27964;12870;6171;10929;23978;23458;20844;25090;18299;14353;15397;10359
"6";2308;370;941;264;4217;5171;4011;1427;801;6039;3544;2867;4624;7387;4113;8362;2580;2307;783;1074;597;277;6819;5121;3697;3748;2669;7261;9739;11525;6028;8258;6653;3094;6106;7278
"7";44396;7074;15835;51734;2303;9589;2224;9390;4796;4995;7913;6803;2205;1416;6721;2042;3191;10953;35906;13401;19916;39974;7252;3573;4352;4322;944;974;1336;1905;2005;3221;13248;6343;6994;1582
"8";487;178;394;22;1437;1658;1862;706;684;1907;1303;1834;1296;1362;1065;2430;2052;663;184;3872;742;451;2432;1548;219;1383;358;2543;2685;2813;1194;5101;280;598;733;2359
"9";2945;184;832;438;128;1708;1489;109;780;4896;2828;805;766;5;4741;334;1750;1968;919;918;1287;1875;513;109;4046;815;3;127;0;175;1111;287;4598;1192;1134;220
"10";226;23;194;33;570;404;1076;593;0;915;516;1380;1182;2975;1586;1367;986;428;59;87;65;0;1037;699;19;899;367;344;729;2213;959;566;2074;1358;1979;2104
"11";254;145;381;3;1528;688;1544;345;236;190;392;1803;779;1971;1197;556;1093;465;311;388;86;0;1283;1509;53;819;359;782;432;1862;292;1461;307;632;808;1343
"12";8989;1194;4175;8777;1635;768;1138;2710;2326;1307;2123;4889;500;170;2016;393;612;1468;2908;2429;5603;5356;2415;4424;997;7571;65;342;164;440;264;173;6445;2843;700;239
"13";1957;5310;3948;2641;123;396;2;1391;48;24;21;67;6;11;15;11;32;410;640;1122;5930;1453;693;200;1;876;6;36;5;3;10;6;47;19;45;10
"14";0;0;8;12;0;0;14;0;0;0;0;12;0;0;33;0;0;0;2;0;1;150;25;2;0;150;0;0;0;60;0;0;185;15;0;0
"15";18469;37644;30075;27570;3059;21579;14643;23416;25012;20394;28977;23772;14765;12656;17700;29248;18400;33943;34582;13959;23730;27558;11868;13097;12213;24771;14769;16204;24138;14892;15515;15546;21783;30541;20986;14223
"16";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"18";44;2;25;0;1;5;0;422;21;3;33;81;37;0;0;0;0;64;28;2;39;0;88;46;0;203;0;0;891;0;0;0;0;0;0;0
"19";0;0;0;0;247;1;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"20";712;630;1116;36;222;1543;284;1820;374;13;93;32;74;353;21;309;1428;317;193;1654;552;13;59;2631;4;452;177;51;50;72;7;6;0;9;0;0
"21";0;21;0;0;1661;0;0;7;0;0;0;7;0;2;2;0;43;0;0;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";5386;14448;7392;1883;14307;16034;21241;9737;10252;14834;6493;6652;18736;28870;8565;9204;11231;5512;7005;17594;8713;6041;25740;16819;30488;12535;12762;36536;18423;19737;7906;5109;1954;7967;6852;11024
"23";1;0;0;0;0;15;0;0;0;0;4;13;0;35;3;16;17;30;0;0;0;0;48;8;0;3;0;6;2;13;0;70;123;6;59;43
"24";1183;1781;1990;65;25989;7061;4268;8821;3226;1642;1878;7997;7228;10730;2488;2761;7215;2865;1104;24529;4801;3278;12633;17155;2595;4331;8882;11276;6687;6139;1551;4564;197;1693;1425;4177
"25";0;0;0;0;10;0;0;0;0;3;0;0;0;0;11;0;0;0;0;10;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"26";2171;1925;2019;42;23352;6963;3474;10620;996;877;1359;3234;1157;3014;2684;3089;2904;2142;1654;3278;1054;803;3262;9155;1380;4123;5543;3972;709;3095;164;818;139;1341;587;554
"27";63;731;106;0;19307;2079;159;2749;228;0;47;423;0;400;240;0;1204;152;24;2486;32;39;355;510;0;73;1606;2;0;189;0;0;0;42;3;0
"28";264;5279;4533;487;868;3762;5648;7737;3672;4244;1249;204;2902;912;474;2255;3891;2202;557;2041;3232;47;1237;4770;6845;8752;1279;3212;13514;1386;163;0;5;1201;225;260
"29";7224;28836;32525;5702;1298;10474;11889;25697;38731;17503;20380;30229;12594;24997;23563;17860;25880;14467;7933;20166;27527;22697;10930;8626;11671;24162;21340;21223;8667;10215;13957;35814;5439;15341;19998;22672
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
