"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36";"...37";"...38";"...39";"...40";"...41";"...42";"...43";"...44";"...45";"...46";"...47";"...48";"...49";"...50";"...51";"...52"
"1";2777;347;339;0;99;0;1;8;5815;626;9061;1213;4904;406;1001;10451;2416;14919;5086;5470;2406;4002;5086;3040;1221;6878;15639;825;1;7361;21;5759;99;1065;11467;8468;2876;502;4085;0;1383;6303;3103;3560;9238;425;5926;5540;9242;3057;676;3952
"2";9063;6371;8389;496;2172;368;294;3719;8110;5643;8877;4304;3926;999;1469;9756;10329;4158;6048;8185;3967;4824;6048;5801;8995;5609;21352;13013;9166;12976;1228;12563;9785;5990;5482;12705;2326;5079;5395;821;8306;7240;12066;9013;5532;4123;4445;6340;5530;4487;9385;5555
"3";22511;12714;25252;6515;21559;5919;10293;18406;21264;16576;16510;6245;7650;3296;7539;8640;10566;7693;8274;14854;8859;11538;8271;11843;10808;8616;33184;28168;34130;14059;12221;31634;33644;27514;12610;19093;22300;9552;12515;7400;12836;5695;11459;4213;14827;18507;23193;11318;14822;14922;28659;11071
"4";23458;31484;21233;16772;20741;19481;19184;49198;13092;10979;12887;24154;13512;6514;16481;8139;19894;16216;7083;6580;8138;8551;7087;12509;11608;6774;6093;20173;40932;16686;10395;20668;27512;29420;12081;11083;21867;17800;19151;27930;15914;6748;17711;4995;13627;9372;14931;9263;13636;23342;16862;8672
"5";861;180;166;92;76;124;79;155;956;74;580;145;215;85;144;40;604;472;231;1630;2210;222;231;1091;174;5144;864;122;167;121;78;95;99;126;349;75;328;775;66;161;77;179;627;111;422;4141;419;1412;422;156;449;4675
"6";2698;6677;2089;610;4510;420;46;736;1386;5376;1488;787;1435;11482;4400;4934;462;3446;4015;83;0;6538;4016;44;215;51;2750;4846;603;1889;1362;782;43;315;3954;3287;144;329;388;812;250;5486;696;6794;126;7;51;148;126;3138;0;0
"7";1186;643;591;520;472;545;558;629;3075;656;1945;692;1265;540;749;703;1441;1055;1578;2741;4411;1439;1577;3504;1176;4669;4636;724;854;1357;472;482;509;653;1557;477;1780;4134;359;793;779;715;1593;410;1767;10207;1041;5163;1764;1610;6247;6526
"8";1886;16795;10140;667;1136;186;203;7526;10471;4231;10127;7992;6940;3716;6636;884;11264;2962;2214;1609;5195;186;2217;13134;10247;3321;157;2353;15974;7600;55;1329;18422;6792;5056;1196;11814;12826;1602;4006;4756;585;6334;1329;5033;924;18986;2979;5026;13400;2491;13861
"9";4564;1762;928;37;222;14;12;217;5107;700;2743;2080;2972;558;685;5039;6777;3741;4299;17454;12444;1251;4298;13141;3327;19410;4948;270;509;10102;89;1954;830;1160;5583;2141;2457;5072;269;88;1830;5718;5247;3870;7463;8631;4509;12379;7463;2677;16082;12907
"10";6509;6051;7496;2104;1784;1073;2565;4467;21842;5388;15728;4404;7478;1507;6325;6225;9960;3461;6031;13840;12465;6614;6033;16212;6992;10336;24210;11112;9763;13242;1659;12373;18286;6286;15166;7254;9292;18333;3170;1439;5158;2460;7106;1320;17870;17371;9684;14469;17874;11294;21953;17777
"11";12312;6259;6248;20096;11712;10222;19199;10933;6946;7389;8221;25525;11382;7771;12633;5626;7259;14485;4951;4220;3494;8015;4950;5514;9278;2867;0;1686;4579;1646;6353;2834;1847;2809;5194;7420;16622;13557;17581;19146;11896;8722;11983;5306;6812;3642;10876;5042;6813;9222;7278;5613
"12";7020;6410;6765;10639;12100;6354;6924;2639;2782;7992;4813;6868;6393;3280;7900;5451;3921;3563;3046;10100;4352;3929;3046;419;4062;382;1630;6467;3426;4357;5840;5898;8729;14448;3433;6194;11139;4893;12087;9215;7847;8033;7168;2423;5329;2433;8765;4185;5330;5376;2587;613
"13";0;2489;3335;135;3320;1666;1052;2485;753;725;13;4094;14;2034;2238;125;78;526;173;0;0;16;173;0;0;0;0;0;3;377;3017;179;838;822;1;1170;1406;487;4180;3554;404;78;1048;114;11;0;66;176;11;0;4;0
