"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";638;500;362;398;281;435;405;481;283;747;536;436;630;627;2011;975;345;394;453;394;290;344;349;171;824;462;338;364;376;873;1108;1017;16130;1056;529;786
"2";2114;1299;1920;2405;1015;2097;2265;1663;1063;1986;1454;2444;1902;1525;2145;1733;1603;1736;2016;2325;1730;1450;1440;1142;2576;2211;1573;1011;1374;2438;2267;1867;5898;3016;2446;2302
"3";26132;29914;18331;27450;5225;7759;5828;6493;13610;4935;4664;4296;3533;3585;3221;5698;3234;8100;10189;4063;19429;11853;1558;3723;2671;3397;6312;4621;5217;417;1465;2288;1138;3977;1329;3164
"4";18971;10387;10244;22587;3535;7254;6306;8454;7842;5862;8326;5729;3768;3450;4279;6353;5007;7908;11512;4475;9202;4322;5759;5997;2525;6778;3067;4481;7435;4461;2881;4949;5339;3758;9023;3901
"5";6708;4857;6173;5558;1027;1502;1896;7555;1835;1486;1903;1550;1378;1331;1209;2040;2470;1773;1013;1316;1380;1176;1074;1508;1133;1659;786;1316;1273;1906;1184;1112;1278;1303;2147;1211
"6";3603;5337;4214;2043;2525;7941;4778;9427;4308;5608;5951;1840;7006;3188;2469;3048;4520;5584;1768;1345;2174;2241;2302;10022;2951;3752;1911;6398;3027;2396;2770;1720;3000;2788;5652;3432
"7";12872;15619;18225;6980;8677;10368;3911;13229;19760;9323;12191;1230;5207;6741;2886;5614;6182;11508;19700;19273;21564;20416;9277;27066;4999;8470;9575;15268;20111;1463;439;2521;18;2015;401;1196
"8";14740;27820;28194;11215;4535;9998;2896;6366;18422;5647;11544;3545;2893;2956;2184;6122;6911;7286;13790;19196;22806;18646;4689;8124;533;6522;11771;12183;11857;246;72;695;93;1021;223;6880
"9";2210;873;1767;737;740;2624;6032;582;5511;9301;2755;7028;10144;8928;5423;13858;2502;4563;3888;1175;1059;5094;12250;4168;16756;7122;6057;9361;11996;10683;18466;21628;7115;5767;6504;23018
"10";7616;8874;5921;4725;17142;11378;6372;6365;14049;6918;15056;1014;2825;2018;2241;4997;4196;3278;14432;10787;6788;8458;6237;15921;2824;9694;8168;11364;7263;225;171;205;115;1317;74;66
"11";8260;4366;4609;6839;805;509;460;2564;1997;229;1022;0;38;0;77;786;1090;1115;230;4806;4958;29;54;3516;51;2946;0;1157;981;0;0;12;0;452;372;0
"12";11663;5475;3588;4464;3766;1052;1959;593;2314;2376;1389;2175;2791;1682;2313;3453;530;1697;12647;3901;10204;9889;3759;1270;4756;1453;3369;4262;6834;2350;2476;8776;1655;3833;1368;3600
"13";948;10950;9279;6440;24325;10393;6412;14764;16114;7071;13000;2181;4368;4413;2386;2202;5015;3560;8473;16716;8080;6704;4692;12807;0;6809;8863;6410;5725;15;0;5;0;64;200;0
"14";96;7137;2530;1300;47032;23372;6445;27595;6749;15884;8990;2548;16184;16395;1599;11110;19195;7082;8922;3013;3745;6509;17503;18921;0;19934;23686;19250;1341;0;0;0;0;260;42;0
"15";4875;3196;1978;2368;1420;948;2178;1185;2753;2820;1726;1156;1761;366;2059;10463;497;2327;5368;3189;3722;4018;6010;1844;3542;2408;2175;2675;8647;2847;3245;1263;506;3761;558;2010
"16";8374;2855;4763;6762;1761;4380;2732;2649;2431;3484;2486;4016;2552;3089;2964;3733;2770;4041;5709;6829;7311;3428;3450;1678;2559;3455;2511;1260;4257;4854;2962;3020;5715;5575;5634;3284
"17";891;0;936;611;79;2646;10115;393;1371;3646;2170;4278;5308;3585;14032;4525;938;3822;752;465;300;653;2154;853;11488;3696;890;1400;1546;9370;22442;7432;24831;15702;12874;6434
"18";16534;9247;6596;33638;4112;8393;5913;3800;8334;8130;2022;6380;5166;3816;5688;9112;1772;7036;16649;3387;9972;13748;4227;4985;4566;3824;4133;4664;6650;3096;3326;4989;5121;7742;7639;3373
"19";40;252;1394;1076;1971;2968;2022;3927;999;7996;2514;3317;14902;10698;3897;4540;12682;4467;696;1310;1369;3084;11276;2322;10381;2718;3653;3303;6224;3926;2865;3270;292;4071;4162;15337
"20";11881;898;4195;6079;2084;9127;12464;1651;4213;11842;3772;7288;7312;5756;7572;6249;1639;10531;11512;2784;2769;5690;5388;196;13693;6699;2443;1649;2906;6652;10341;1710;9355;10924;11285;5131
"21";3337;2123;3595;1932;3241;3128;1251;1954;2049;2628;3917;194;981;115;782;1864;514;1345;2507;738;5116;1746;83;4388;879;2255;1150;5651;4640;0;2;0;0;893;270;266
"22";563;9630;11188;3363;10633;7715;42;8533;7620;2083;5427;518;5015;2625;495;2007;3280;3996;3391;27750;15113;7490;4591;4686;383;7190;4568;8568;14578;60;1;132;0;218;93;5578
