,...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52
1,1970,197,201,140,66,95,71,69,153,854,588,44,601,77,470,2922,1005,623,2477,1408,3331,1955,2331,944,939,5660,322,382,0,650,96,77,0,89,717,141,118,299,116,65,192,1190,1202,1056,1034,1229,108,1979,1000,202,653,7457
2,5792,2666,3547,467,1199,396,623,687,5653,1857,6234,1673,2853,2815,1290,3140,2153,2904,2566,6999,6888,4234,3061,8361,6849,8983,12915,8045,2791,5292,370,6616,7609,4034,6132,6141,1836,2631,4232,1146,2090,3278,5462,2442,4496,9271,5827,8305,4403,3175,5000,9451
3,9904,9139,13607,2051,4513,2291,3720,7394,14978,3790,13644,4614,9289,4814,4500,4793,6955,4324,4314,11621,10305,5782,5007,10695,9891,8795,28365,14783,12140,10500,2756,20894,18360,13007,9010,10288,6931,6021,7474,3066,6499,6943,9207,6760,10191,15573,15130,13278,10019,7687,11106,10824
4,29859,17780,19578,9296,11187,9022,16595,26563,17651,11874,18839,11856,14321,9018,8978,10988,15027,8537,9100,16646,17618,8473,10017,13207,11887,16335,14493,28293,37588,13378,9802,30489,27100,21964,14266,21620,17668,16723,21830,12265,17852,11665,17141,11522,18224,22817,22725,17281,17769,14937,25564,15748
5,6335,8568,2911,1448,446,1090,286,0,732,3971,2792,43,2396,1335,3522,13757,3134,4245,6590,971,1120,4853,6380,1884,628,5155,11131,2342,680,6614,839,300,176,534,3180,1833,356,1324,258,200,129,3780,2753,4997,1449,160,26,3507,1676,474,236,724
6,2957,1905,13,744,18,1979,561,0,0,1119,828,0,856,505,1693,5975,305,2337,3156,0,0,1889,2804,0,106,0,327,24,0,2780,684,0,0,103,1566,0,0,625,0,0,0,1315,200,4421,0,0,0,55,0,0,0,0
7,736,12,87,63,76,229,121,153,1,284,156,2,0,353,25,364,1420,4,698,373,702,193,684,1015,105,273,0,100,5,85,0,5,23,0,74,0,30,166,4,3,0,0,16,15,3,44,0,37,7,91,445,107
8,1210,1161,2786,1067,1315,1319,824,3730,3922,572,2405,825,293,1378,537,245,1069,349,759,1426,1168,1250,693,2597,1904,2068,452,1901,3544,3258,1252,3172,2927,2210,478,1023,657,879,453,1184,1315,466,635,586,794,562,795,2051,805,2359,1893,1279
9,771,164,243,0,0,0,0,173,478,29,228,93,634,38,536,1044,255,533,232,164,288,86,36,278,30,468,0,103,0,1278,0,89,25,66,827,78,27,39,0,129,120,69,600,116,701,0,0,750,852,363,0,103
10,1314,185,383,149,188,267,258,295,450,154,652,150,122,424,76,750,976,179,1009,1611,2286,854,1085,1775,1531,1461,1111,791,547,329,201,738,683,431,660,333,404,213,456,171,468,751,549,768,655,4475,778,2329,747,819,2675,2291
11,10052,17301,14945,24637,26821,22518,27121,33367,20360,15000,22095,23655,13003,14876,17569,8081,19718,13964,12767,15212,13123,11827,12626,13012,15915,13435,755,11586,20441,14197,19418,20319,18042,14597,16994,20459,29671,21915,20112,23999,25694,14670,16500,12696,17659,13429,18279,15022,17454,15555,20797,18078
12,3903,1029,1461,455,760,499,646,715,1984,1174,3711,863,1072,2204,869,4226,2099,1899,2533,5181,6929,3305,2667,6770,5259,7380,5292,2270,1038,1858,539,1723,1361,805,2612,2057,1077,1144,1628,547,1101,2681,2348,2383,2460,12976,3280,5512,2899,2853,5890,9508
13,4201,6766,4141,161,2474,248,195,1683,471,3663,752,601,980,1171,2743,1796,951,2813,3384,151,152,1815,3855,3923,159,1327,76,3418,43,3981,71,1135,118,1377,4496,1804,239,84,215,553,457,2139,1928,5897,590,0,23,1115,766,3696,0,28
