Slice,Count,Total Area,Average Size,%Area
1.png,0,0,NaN,0.000
10.png,7,54,7.714,0.204
11.png,3,19,6.333,0.072
12.png,1,1,1.000,0.004
13.png,1,4,4.000,0.015
14.png,5,144,28.800,0.545
15.png,1,45,45.000,0.170
16.png,1,26426,26426.000,100.000
17.png,3,27,9.000,0.102
18.png,3,31,10.333,0.117
19.png,1,10,10.000,0.038
2.png,1,26426,26426.000,100.000
20.png,0,0,NaN,0.000
21.png,1,26426,26426.000,100.000
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,1,5,5.000,0.019
25.png,0,0,NaN,0.000
26.png,1,26426,26426.000,100.000
27.png,0,0,NaN,0.000
28.png,1,26426,26426.000,100.000
29.png,1,26426,26426.000,100.000
3.png,1,26426,26426.000,100.000
30.png,4,68,17.000,0.257
31.png,4,31,7.750,0.117
32.png,1,3,3.000,0.011
33.png,6,64,10.667,0.242
34.png,4,95,23.750,0.359
35.png,15,48,3.200,0.182
36.png,5,97,19.400,0.367
37.png,4,28,7.000,0.106
38.png,5,38,7.600,0.144
39.png,1,26426,26426.000,100.000
4.png,1,1,1.000,0.004
40.png,2,27,13.500,0.102
41.png,7,69,9.857,0.261
42.png,3,6,2.000,0.023
43.png,12,35,2.917,0.132
44.png,6,55,9.167,0.208
45.png,1,8,8.000,0.030
46.png,2,5,2.500,0.019
47.png,1,26,26.000,0.098
48.png,0,0,NaN,0.000
49.png,1,26426,26426.000,100.000
5.png,10,184,18.400,0.696
50.png,1,26426,26426.000,100.000
51.png,1,26426,26426.000,100.000
52.png,1,26426,26426.000,100.000
53.png,0,0,NaN,0.000
54.png,1,26426,26426.000,100.000
55.png,1,26426,26426.000,100.000
56.png,1,26426,26426.000,100.000
6.png,1,2,2.000,0.008
7.png,1,4,4.000,0.015
8.png,5,69,13.800,0.261
9.png,1,26426,26426.000,100.000
