Slice,Count,Total Area,Average Size,%Area
1.png,1,26426,26426.000,100.000
10.png,1,26426,26426.000,100.000
11.png,1,26426,26426.000,100.000
12.png,0,0,NaN,0.000
13.png,1,26426,26426.000,100.000
14.png,1,1,1.000,0.004
15.png,8,12,1.500,0.045
16.png,1,26426,26426.000,100.000
17.png,6,46,7.667,0.174
18.png,8,10,1.250,0.038
19.png,1,26426,26426.000,100.000
2.png,0,0,NaN,0.000
20.png,1,26426,26426.000,100.000
21.png,3,6,2.000,0.023
22.png,1,26426,26426.000,100.000
23.png,1,26426,26426.000,100.000
24.png,0,0,NaN,0.000
25.png,1,26426,26426.000,100.000
26.png,1,26426,26426.000,100.000
27.png,1,26426,26426.000,100.000
28.png,1,26426,26426.000,100.000
29.png,0,0,NaN,0.000
3.png,1,26426,26426.000,100.000
30.png,0,0,NaN,0.000
31.png,5,17,3.400,0.064
32.png,1,26426,26426.000,100.000
33.png,0,0,NaN,0.000
34.png,1,26426,26426.000,100.000
35.png,1,26426,26426.000,100.000
36.png,1,26426,26426.000,100.000
37.png,0,0,NaN,0.000
38.png,2,6,3.000,0.023
39.png,0,0,NaN,0.000
4.png,1,26426,26426.000,100.000
40.png,1,4,4.000,0.015
41.png,2,2,1.000,0.008
42.png,0,0,NaN,0.000
43.png,1,2,2.000,0.008
44.png,2,8,4.000,0.030
45.png,1,2,2.000,0.008
46.png,2,2,1.000,0.008
47.png,10,69,6.900,0.261
48.png,1,26426,26426.000,100.000
49.png,2,5,2.500,0.019
5.png,1,26426,26426.000,100.000
50.png,1,26426,26426.000,100.000
51.png,1,26426,26426.000,100.000
52.png,1,26426,26426.000,100.000
53.png,1,26426,26426.000,100.000
54.png,1,1,1.000,0.004
55.png,1,26426,26426.000,100.000
56.png,1,26426,26426.000,100.000
6.png,1,26426,26426.000,100.000
7.png,1,26426,26426.000,100.000
8.png,5,9,1.800,0.034
9.png,3,3,1.000,0.011
