Slice,Count,Total Area,Average Size,%Area
1.png,11,166,15.091,0.312
10.png,178,2471,13.882,4.644
11.png,319,4721,14.799,8.872
12.png,141,1068,7.574,2.007
13.png,342,5769,16.868,10.841
14.png,246,1163,4.728,2.186
15.png,179,5543,30.966,10.416
16.png,213,3329,15.629,6.256
17.png,84,246,2.929,0.462
18.png,167,2190,13.114,4.115
19.png,22,85,3.864,0.160
2.png,163,3263,20.018,6.132
20.png,195,1683,8.631,3.163
21.png,116,585,5.043,1.099
22.png,84,1082,12.881,2.033
23.png,191,840,4.398,1.579
24.png,131,1851,14.130,3.478
25.png,195,1684,8.636,3.165
26.png,226,4815,21.305,9.048
27.png,226,2082,9.212,3.913
28.png,181,2916,16.110,5.480
29.png,167,1972,11.808,3.706
3.png,367,4478,12.202,8.415
30.png,148,6611,44.669,12.423
31.png,156,5041,32.314,9.473
32.png,136,4312,31.706,8.103
33.png,144,6683,46.410,12.559
34.png,102,2927,28.696,5.500
35.png,171,4623,27.035,8.688
36.png,185,12182,65.849,22.892
37.png,150,5159,34.393,9.695
38.png,188,1385,7.367,2.603
39.png,190,6371,33.532,11.972
4.png,120,3384,28.200,6.359
40.png,212,2408,11.358,4.525
41.png,308,4953,16.081,9.308
42.png,185,3838,20.746,7.212
43.png,155,1674,10.800,3.146
44.png,150,3115,20.767,5.854
45.png,48,752,15.667,1.413
46.png,189,4596,24.317,8.637
47.png,174,1279,7.351,2.404
48.png,145,1128,7.779,2.120
49.png,73,373,5.110,0.701
5.png,132,2030,15.379,3.815
50.png,189,1634,8.646,3.071
51.png,167,2157,12.916,4.053
52.png,131,1910,14.580,3.589
53.png,144,1128,7.833,2.120
54.png,247,3319,13.437,6.237
55.png,202,2504,12.396,4.706
56.png,139,2455,17.662,4.613
6.png,114,5812,50.982,10.922
7.png,150,9660,64.400,18.153
8.png,160,4982,31.137,9.362
9.png,171,3842,22.468,7.220
