Slice,Count,Total Area,Average Size,%Area
1.png,79,443,5.608,1.676
10.png,48,128,2.667,0.484
11.png,41,334,8.146,1.264
12.png,57,293,5.140,1.109
13.png,58,262,4.517,0.991
14.png,59,176,2.983,0.666
15.png,135,537,3.978,2.032
16.png,127,581,4.575,2.199
17.png,124,433,3.492,1.639
18.png,58,258,4.448,0.976
19.png,115,432,3.757,1.635
2.png,33,526,15.939,1.990
20.png,41,128,3.122,0.484
21.png,72,272,3.778,1.029
22.png,108,365,3.380,1.381
23.png,35,115,3.286,0.435
24.png,88,277,3.148,1.048
25.png,84,250,2.976,0.946
26.png,44,205,4.659,0.776
27.png,33,93,2.818,0.352
28.png,60,246,4.100,0.931
29.png,49,103,2.102,0.390
3.png,58,371,6.397,1.404
30.png,65,246,3.785,0.931
31.png,56,159,2.839,0.602
32.png,39,142,3.641,0.537
33.png,82,282,3.439,1.067
34.png,60,294,4.900,1.113
35.png,34,101,2.971,0.382
36.png,80,157,1.962,0.594
4.png,50,315,6.300,1.192
5.png,65,279,4.292,1.056
6.png,15,59,3.933,0.223
7.png,73,337,4.616,1.275
8.png,62,225,3.629,0.851
9.png,45,127,2.822,0.481
