Slice,Count,Total Area,Average Size,%Area
1.png,153,2711,17.719,10.259
10.png,103,2226,21.612,8.424
11.png,144,1377,9.562,5.211
12.png,55,1109,20.164,4.197
13.png,75,949,12.653,3.591
14.png,44,188,4.273,0.711
15.png,226,1135,5.022,4.295
16.png,108,871,8.065,3.296
17.png,96,535,5.573,2.025
18.png,92,987,10.728,3.735
19.png,102,1974,19.353,7.470
2.png,57,648,11.368,2.452
20.png,90,1227,13.633,4.643
21.png,87,1403,16.126,5.309
22.png,101,1203,11.911,4.552
23.png,139,1683,12.108,6.369
24.png,44,1134,25.773,4.291
25.png,99,1611,16.273,6.096
26.png,67,1429,21.328,5.408
27.png,17,316,18.588,1.196
28.png,42,357,8.500,1.351
29.png,70,1643,23.471,6.217
3.png,118,1225,10.381,4.636
30.png,83,980,11.807,3.708
31.png,113,817,7.230,3.092
32.png,131,524,4.000,1.983
33.png,183,2216,12.109,8.386
34.png,122,1346,11.033,5.093
35.png,107,842,7.869,3.186
36.png,84,330,3.929,1.249
4.png,94,1480,15.745,5.601
5.png,46,1200,26.087,4.541
6.png,83,1199,14.446,4.537
7.png,63,1117,17.730,4.227
8.png,46,852,18.522,3.224
9.png,46,1095,23.804,4.144
