Slice,Count,Total Area,Average Size,%Area
1.png,2,3,1.500,0.006
10.png,1,53214,53214.000,100.000
11.png,1,53214,53214.000,100.000
12.png,5,8,1.600,0.015
13.png,1,53214,53214.000,100.000
14.png,1,53214,53214.000,100.000
15.png,12,62,5.167,0.117
16.png,5,17,3.400,0.032
17.png,8,27,3.375,0.051
18.png,0,0,NaN,0.000
19.png,22,180,8.182,0.338
2.png,2,79,39.500,0.148
20.png,6,47,7.833,0.088
21.png,13,111,8.538,0.209
22.png,14,64,4.571,0.120
23.png,1,4,4.000,0.008
24.png,1,3,3.000,0.006
25.png,3,14,4.667,0.026
26.png,5,102,20.400,0.192
27.png,4,17,4.250,0.032
28.png,2,8,4.000,0.015
29.png,2,2,1.000,0.004
3.png,6,23,3.833,0.043
30.png,10,69,6.900,0.130
31.png,1,53214,53214.000,100.000
32.png,1,1,1.000,0.002
33.png,3,11,3.667,0.021
34.png,1,53214,53214.000,100.000
35.png,8,107,13.375,0.201
36.png,5,10,2.000,0.019
4.png,22,52,2.364,0.098
5.png,7,9,1.286,0.017
6.png,2,5,2.500,0.009
7.png,1,53214,53214.000,100.000
8.png,14,253,18.071,0.475
9.png,1,53214,53214.000,100.000
