Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,450,1168,73,965,5029,3208,2452,1084,891,1180,232,2567,73,0,16,0,0,0,0,0,0,36,10,73,0,23,0,0,0,0
2,501,28,25,265,4625,912,4938,2367,2639,37,404,1342,417,6,68,2,0,2,0,0,24,233,6,334,60,60,0,1,26,0
3,535,33,98,401,1923,389,7987,878,2066,6,9,2957,1304,18,66,0,0,1,0,0,0,144,9,10,62,5,0,3,149,0
4,494,85,497,1230,3026,2020,4197,1109,2774,183,61,1624,416,13,115,0,0,0,0,1,12,621,256,396,330,80,0,5,149,0
5,633,3,15,93,775,130,2952,1164,1130,48,68,230,484,0,560,0,0,0,85,184,57,1468,0,3159,13,1277,2449,112,2484,0
6,608,76,85,703,2847,1157,4373,1464,4109,340,105,1553,674,0,63,0,0,0,0,2,0,357,117,88,38,82,0,14,133,0
7,602,4,30,505,3709,735,6089,228,2976,6,0,3375,829,15,83,0,0,0,0,4,0,279,0,0,81,0,0,48,12,0
8,623,46,80,324,2801,641,6284,873,3691,26,34,1647,1170,7,308,0,0,0,0,69,0,471,6,59,21,149,0,28,491,0
9,785,188,371,687,1628,1674,1978,764,2586,886,615,916,897,22,139,0,5,0,0,0,16,256,114,422,740,265,0,1,220,0
10,783,277,220,342,2128,1947,2855,2619,2855,434,346,377,522,2,517,0,16,0,0,54,0,626,250,365,562,266,0,35,531,0
11,1441,319,163,719,1457,502,4370,84,1237,301,127,2229,1515,72,1441,0,0,2,0,19,0,742,77,49,376,40,0,76,377,0
12,726,581,387,1030,1160,2223,1937,608,2245,425,167,860,535,1,281,0,0,0,0,1,0,96,73,134,100,92,0,1,125,0
13,2232,215,451,1516,1305,508,2318,143,1582,40,24,1671,1375,21,674,0,0,1,0,4,0,136,3,32,328,13,0,23,184,0
14,1344,44,103,217,1462,794,3682,522,1505,291,38,432,351,0,1352,0,0,0,0,144,0,565,104,76,92,33,0,137,959,0
15,2004,0,0,14,874,19,5147,704,1963,0,9,535,2625,0,1391,0,0,0,0,45,20,393,0,50,30,0,0,463,995,0
16,1316,42,98,189,1759,810,3208,354,1513,53,14,538,720,0,623,0,0,0,0,0,0,294,21,23,163,1,0,30,187,0
17,1425,42,553,106,2063,2270,1021,2557,1388,765,271,240,104,0,998,0,0,0,0,27,2,836,54,529,373,172,1,6,573,0
18,1266,158,362,555,1860,1482,2988,794,2259,80,47,992,852,38,1113,0,11,2,0,31,4,321,32,64,729,31,0,38,268,1
19,591,15,264,73,1279,1580,852,3610,996,153,452,191,23,0,757,0,0,0,0,10,5,463,33,708,568,121,0,0,921,0
20,872,545,507,800,1198,1304,2165,542,2317,395,36,1072,706,0,464,0,0,0,0,0,0,64,310,16,734,12,0,0,210,0
21,1678,309,186,1001,2168,1268,3158,162,1720,31,1,1420,384,17,1137,0,0,2,0,0,0,161,29,13,487,0,0,0,150,0
22,586,3023,271,2533,972,1007,1189,2,148,19,1,2693,147,40,351,0,2,77,0,0,0,23,0,0,0,0,0,0,11,0
23,1238,273,208,408,1238,921,2705,102,1324,222,12,1972,568,58,829,0,0,0,0,0,0,149,258,3,471,0,0,7,331,0
24,1130,1079,991,1542,1392,1445,1374,535,1195,368,3,1229,504,6,279,0,0,0,0,5,0,119,90,7,167,0,0,20,102,0
25,872,545,493,800,1199,1306,2165,542,2317,395,36,1073,707,0,465,0,0,0,0,0,0,64,310,16,734,12,0,0,209,0
26,1238,164,211,716,1134,726,3360,824,2069,66,219,1866,1421,0,611,0,0,0,0,0,1,78,91,93,239,0,0,0,652,0
27,1108,767,276,2204,2057,1012,2816,61,1062,50,0,1331,470,0,429,0,0,0,0,0,0,10,12,0,3,0,0,2,30,0
28,799,2731,888,1571,819,1253,1213,82,807,196,0,2006,492,46,409,0,0,0,0,0,0,1,327,1,562,0,0,0,7,0
29,571,175,184,385,2556,879,4807,1029,1741,126,150,514,223,19,749,0,0,0,0,0,70,131,275,330,48,57,12,0,145,0
30,508,0,95,209,1371,493,3571,1554,2345,11,316,1412,1780,2,79,0,12,0,0,68,15,238,11,530,163,43,0,189,105,0
31,483,28,96,238,2092,987,3930,1316,2551,17,44,1167,934,5,185,0,4,0,0,31,5,417,0,181,47,9,0,139,153,0
32,622,2,7,49,466,88,3786,149,274,7,13,136,535,1,925,0,0,0,0,3,72,371,0,2587,1,168,560,6,4623,0
33,740,13,18,138,1411,305,4099,562,2082,13,188,486,877,1,814,0,0,0,0,64,68,713,0,606,2,68,1,154,1854,0
34,644,0,4,47,271,56,2964,517,523,9,43,186,744,2,622,0,0,0,23,95,86,574,0,2221,0,448,1302,54,3509,0
35,633,6,16,54,398,19,4706,304,664,2,5,149,774,0,739,0,0,0,24,48,119,706,0,1852,2,918,824,69,2173,0
36,508,10,18,171,677,197,6431,842,2710,13,23,1017,2404,0,169,0,0,0,0,97,5,205,1,93,6,34,0,82,104,0
