Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,412,401,55,431,3394,368,5520,59,181,26,1,3514,77,0,1,0,0,0,0,4,0,235,0,37,0,104,0,0,0,0
2,368,15,26,338,666,100,5810,17,128,0,4,2342,2526,27,86,0,0,0,0,0,0,6,3,3,3,1,0,0,7,0
3,406,11,32,228,271,6,9148,11,123,0,0,1298,2989,12,51,0,0,0,0,0,0,6,0,0,0,0,0,3,29,0
4,527,0,10,282,890,76,6744,20,168,0,0,2084,2887,9,539,0,0,0,0,0,0,153,0,45,2,40,0,5,148,0
5,760,8,13,129,669,17,5387,11,175,0,0,912,1563,3,2679,0,0,0,0,4,0,379,0,59,0,28,6,78,898,0
6,595,0,5,178,610,18,4709,16,598,0,0,1729,5214,0,536,0,0,0,0,0,0,16,0,0,0,0,0,0,11,0
7,612,1,5,158,156,6,3012,13,80,0,0,2197,8426,9,529,0,8,0,0,0,0,31,0,0,8,0,0,1,4,0
8,508,6,9,151,850,17,4911,15,210,0,0,1404,3367,0,840,0,0,9,0,49,0,161,0,11,2,17,0,122,144,0
9,1517,60,153,737,948,172,3526,30,317,89,26,2378,2661,102,1004,0,2,3,0,0,0,36,0,10,18,20,0,0,146,0
10,1624,23,61,351,802,70,4624,62,394,1,0,1148,1901,15,2961,0,0,0,0,0,0,178,1,33,6,15,0,4,326,0
11,5464,6,37,287,131,4,2069,3,94,0,0,1255,3159,17,1665,0,0,0,0,0,0,4,0,0,1,0,0,0,29,0
12,2400,132,130,653,929,355,2287,61,362,38,31,1861,869,95,3248,0,0,0,0,0,0,123,0,5,22,10,0,37,86,0
13,4956,27,93,317,172,42,971,1,136,1,1,1129,3620,34,737,0,8,0,0,1,0,14,0,3,6,5,0,3,8,0
14,3425,37,103,365,343,27,2061,8,314,0,0,793,542,4,1833,0,0,1,0,0,0,34,0,0,7,0,0,35,40,0
15,4182,3,27,308,276,1,1596,0,194,0,0,2410,2834,19,1326,0,4,12,0,0,0,20,0,0,30,0,0,115,20,0
16,3978,27,70,424,127,8,2310,0,130,0,0,1755,2785,10,1382,0,0,0,0,0,0,9,0,0,4,0,0,5,1,0
17,1485,64,175,1547,1744,132,1306,105,972,0,0,975,110,0,2451,0,0,46,0,1,0,131,0,4,13,0,0,11,371,0
18,3069,89,129,515,551,111,1404,8,165,8,0,1066,1461,57,3645,0,7,10,0,0,0,30,5,0,41,0,0,21,46,0
19,750,31,62,866,1338,141,1531,257,1247,8,2,930,42,0,1988,0,0,0,0,0,0,105,0,45,1,13,0,1,212,0
20,3741,77,112,524,450,60,2085,5,162,0,0,1506,1114,8,2673,0,0,0,0,0,0,6,6,0,20,0,0,0,30,0
21,2068,16,24,480,414,10,1302,0,101,0,0,1199,261,0,2266,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0
22,3384,80,46,835,747,48,2193,0,45,0,0,2590,1152,0,2455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1203,76,105,782,386,22,1885,0,249,0,0,1999,197,1,2805,0,0,0,0,0,0,4,0,0,0,0,0,0,15,0
24,2219,103,105,910,344,91,1822,0,72,10,0,2620,1291,217,2201,0,0,0,0,1,0,1,0,0,2,0,0,2,1,0
25,3741,77,112,524,460,60,2085,5,162,0,0,1506,1116,8,2672,0,0,0,0,0,0,6,6,0,20,0,0,0,30,0
26,3820,64,48,342,173,8,777,2,44,0,0,1054,2902,78,1064,0,90,0,0,0,0,1,0,0,6,0,0,0,16,5
27,1922,159,110,809,141,28,2537,0,173,0,0,2541,1431,20,2083,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3533,59,66,448,229,28,1291,0,62,0,0,1162,2392,6,1816,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0
29,496,42,14,142,609,97,7542,25,101,6,1,809,1584,85,1138,0,27,0,0,0,0,65,0,6,0,5,0,0,49,23
30,407,5,12,72,570,49,4462,130,153,4,22,435,3611,1,182,0,0,0,0,20,0,87,1,14,2,0,0,165,27,0
31,531,9,15,285,968,60,5045,34,341,0,0,1610,3981,0,831,0,0,17,0,41,0,119,0,0,3,0,0,114,20,0
32,824,0,0,36,271,24,4574,37,108,0,0,484,3220,0,3587,0,0,0,0,0,0,94,0,33,0,3,0,4,186,0
33,1722,11,12,162,469,6,3475,13,177,0,0,650,5664,3,1688,0,0,0,0,0,0,64,0,3,0,0,0,50,316,0
34,559,0,3,59,767,39,5196,35,159,2,9,337,1654,0,2869,0,0,0,0,0,0,258,0,109,0,50,0,30,651,0
35,678,5,18,167,160,4,5369,1,71,0,0,877,3662,6,2876,0,0,0,0,0,0,13,0,0,3,0,0,15,113,0
36,482,2,12,168,51,1,3345,0,76,0,0,1234,9066,7,486,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2
37,2379,7,24,266,664,47,3159,0,185,12,1,1828,3752,7,922,0,0,0,0,6,0,69,0,3,0,21,0,49,12,0
38,1771,35,28,558,1051,163,3671,38,420,2,8,1717,896,32,2592,0,0,6,0,0,0,334,0,69,2,74,0,71,450,0
39,1737,91,60,515,534,200,1337,12,165,129,30,2504,4923,183,857,0,2,0,0,0,0,37,1,7,4,12,0,0,8,0
40,4190,31,49,399,702,83,2330,10,250,1,0,1459,1020,19,2974,0,0,4,0,17,0,127,0,11,7,12,0,22,115,0
41,7557,34,76,300,91,1,911,0,42,0,0,820,2232,31,985,0,0,2,0,0,0,6,0,0,1,0,0,0,4,0
42,3064,20,55,407,512,114,1664,12,267,0,0,2053,2096,25,1655,0,0,0,0,5,0,44,0,1,40,0,0,28,39,0
43,2648,46,78,410,465,105,2307,81,407,15,3,1326,1230,46,2734,0,7,2,0,7,0,139,4,64,48,39,0,36,188,0
44,5393,4,15,147,297,47,1578,12,139,0,0,835,1859,2,1216,0,0,8,0,44,0,113,0,18,4,6,0,37,96,0
45,2084,44,55,855,926,130,1822,7,259,5,0,1627,647,6,2769,0,0,2,0,0,0,166,0,31,0,12,0,26,271,0
46,3804,59,138,600,297,109,964,8,102,7,0,1714,3368,170,1443,0,20,2,0,0,0,6,2,10,71,0,0,0,37,0
47,3198,86,70,426,1031,205,1610,68,133,28,26,500,369,3,4182,0,0,69,0,0,0,223,0,101,0,71,0,35,594,0
48,2605,192,170,794,647,313,2226,61,468,82,12,1179,879,93,3211,0,0,0,0,0,0,100,6,26,14,4,0,20,466,0
49,1309,71,130,776,1762,373,1910,41,588,59,26,757,76,3,3001,0,0,5,0,4,0,114,1,45,0,33,0,5,162,0
50,2717,95,137,847,261,27,1951,0,189,0,0,2387,1271,71,1998,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
51,2793,149,127,1038,514,127,1981,1,92,0,0,2665,2118,29,2532,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0
52,2050,80,92,512,369,124,1578,42,285,28,7,1233,1350,13,1501,0,0,0,0,6,0,78,2,35,21,54,0,61,215,0
53,2605,192,170,794,647,316,2226,61,469,82,12,1179,878,93,3211,0,0,0,0,0,0,100,6,26,14,4,0,20,466,0
54,1973,144,170,805,314,13,1743,0,142,0,0,2179,2154,337,2011,0,1,1,0,0,0,0,2,0,44,0,0,0,14,1
55,2265,117,176,833,283,57,1780,8,232,0,0,3009,1643,96,1375,0,0,0,0,0,0,0,5,0,63,0,0,0,17,0
56,1694,71,108,478,420,131,2498,22,503,6,0,2160,2075,33,1637,0,30,0,0,0,0,32,0,0,24,0,0,6,28,8
