Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,733,1558,123,1415,8527,3613,8084,1164,1104,1234,258,6075,166,1,18,0,0,0,0,6,0,272,11,120,0,132,0,0,0,0
2,782,43,44,641,5453,1088,11842,2403,2787,32,405,4164,3263,31,149,1,0,1,0,0,27,254,9,357,67,65,0,1,36,0
3,925,41,128,580,2192,359,18606,892,2116,6,8,4177,4478,34,128,1,0,2,0,0,0,198,11,12,62,3,0,8,197,0
4,1012,93,510,1482,3983,2106,10992,1182,2971,187,64,3727,3384,27,634,0,0,0,0,1,11,777,250,461,343,127,0,12,292,0
5,1363,11,22,219,1411,175,8736,1072,1351,51,69,1149,2030,6,3369,0,0,2,84,190,64,1875,0,3266,15,1254,2493,197,3339,0
6,1086,75,92,849,3526,1192,9308,1522,4751,358,140,3310,5812,3,562,0,0,0,0,3,0,371,130,89,45,93,0,11,173,0
7,1166,6,35,643,3736,721,9025,251,2951,6,1,5609,9660,32,622,0,12,0,0,5,0,306,0,4,96,0,0,48,17,0
8,969,47,77,532,3691,696,12433,911,4147,29,30,3235,4982,8,1299,0,0,11,0,124,0,606,6,76,28,172,0,180,622,0
9,2133,231,542,1549,2827,1962,6254,848,3101,1075,655,3569,3842,123,1202,0,15,5,0,0,17,334,130,483,841,321,0,3,397,0
10,2369,304,288,695,2954,2037,7974,2736,3348,388,368,1542,2471,18,3471,0,17,2,0,55,0,847,255,406,569,298,0,48,862,0
11,6591,334,204,1085,1605,547,7122,100,1374,308,143,3777,4721,93,3209,0,2,2,0,25,0,729,69,54,407,39,0,96,425,0
12,2264,596,438,1447,1831,2297,3392,634,2358,414,180,2114,1068,68,2419,0,2,1,0,1,0,186,65,116,121,92,0,29,173,0
13,7792,235,579,1992,1577,605,3838,164,1801,41,24,3151,5769,57,1408,0,12,4,0,5,0,196,6,39,396,19,0,29,197,0
14,6090,132,231,645,2022,830,7006,606,1890,324,48,1481,1163,7,4090,0,0,0,0,168,0,696,103,113,117,44,0,210,1165,0
15,6361,5,26,326,1125,16,6547,663,1941,0,8,3066,5543,17,2685,0,6,17,0,43,19,370,0,50,59,2,0,546,918,0
16,4608,53,144,519,1866,751,5463,371,1591,51,14,2096,3329,9,1751,0,0,1,0,0,0,279,28,29,168,2,0,31,196,0
17,3169,122,788,1945,4248,2463,2842,2747,2911,752,298,1518,246,0,4058,0,0,56,0,28,3,998,47,534,386,180,0,24,1018,0
18,4068,226,475,1041,2302,1887,4530,841,2541,92,52,2072,2190,99,4471,0,19,17,0,36,4,358,41,63,762,35,0,57,328,0
19,1513,69,350,1367,3190,1810,2985,4098,2665,162,422,1508,85,2,3608,0,0,0,0,10,7,620,30,737,579,158,0,2,1264,0
20,3915,598,584,1218,1555,1348,3803,495,2479,395,40,2298,1683,7,2659,0,0,0,0,0,0,73,306,19,754,15,0,3,241,0
21,4054,221,183,1342,2348,1000,4332,156,1547,31,1,2628,585,15,3828,0,0,11,0,0,0,139,23,9,433,0,0,0,132,0
22,3323,3422,361,3510,1642,1157,3104,4,188,24,1,5429,1082,48,2387,0,2,89,0,0,0,21,0,0,0,0,0,0,14,0
23,2737,365,341,1446,1767,887,5474,117,1661,220,14,5064,840,61,4464,0,0,0,0,0,0,175,263,6,484,0,0,14,379,0
24,3411,1194,1236,2512,1799,1595,3243,566,1271,394,4,3916,1851,213,2390,0,0,1,0,5,0,140,86,10,192,0,0,23,99,0
25,3915,598,585,1218,1555,1348,3803,496,2479,395,40,2298,1684,7,2662,0,0,0,0,0,0,73,306,19,755,15,0,3,241,0
26,5297,240,267,1068,1425,704,4240,849,2117,66,226,3045,4815,81,1892,0,87,0,0,0,2,85,93,109,242,0,0,0,694,8
27,3194,983,365,3077,2302,1020,5550,83,1272,54,0,4449,2082,20,2686,0,6,0,0,0,0,11,17,0,3,0,0,2,43,0
28,3961,2745,972,2122,1063,1312,2705,79,801,200,0,3387,2916,60,2138,0,0,0,0,0,0,1,294,1,516,0,0,0,15,0
29,1003,234,226,558,3514,1161,15447,1184,2080,123,126,1481,1972,103,2315,0,32,1,0,1,77,228,315,372,51,70,10,0,212,27
30,1025,8,127,339,2415,653,10838,1947,2885,16,366,2298,6611,4,333,0,17,2,0,115,16,391,14,654,184,47,2,429,139,0
31,973,32,117,551,3456,1147,9743,1540,3272,21,55,3128,5041,6,1026,0,8,21,0,123,7,696,2,229,67,25,0,330,235,0
32,1526,2,10,108,887,134,10285,259,459,7,13,745,4312,4,5223,0,0,0,0,6,114,604,0,3420,1,215,739,16,6222,0
33,2317,23,31,296,2269,363,8980,698,2871,20,251,1201,6683,8,2771,0,0,4,0,92,101,950,0,768,3,84,0,270,2801,0
34,1339,2,7,112,1109,125,10300,699,806,13,71,582,2927,3,4011,0,1,0,26,114,105,1113,0,2959,0,592,1637,107,5121,0
35,1241,9,44,238,654,24,12060,323,920,4,5,1045,4623,7,3683,0,0,0,31,62,142,860,0,2426,9,1096,1019,99,2812,0
36,969,17,33,359,891,243,11843,940,3436,11,25,2509,12182,15,762,0,2,0,0,114,8,278,0,123,7,44,0,126,146,0
37,3084,138,401,1410,2607,2252,6005,262,2510,834,302,4210,5159,24,1171,0,0,3,0,39,0,393,20,174,669,153,0,73,25,0
38,2682,60,125,817,2272,789,6740,1811,4359,118,357,2397,1385,45,3139,0,0,7,0,56,24,1423,3,1418,153,912,49,94,1941,0
39,2655,234,289,1295,3107,2906,4106,330,3140,829,194,4495,6371,213,1371,0,19,4,0,2,0,291,42,152,108,204,0,4,54,0
40,5630,606,1156,2153,1505,1261,4353,241,1845,229,41,3259,2408,69,3077,0,0,4,0,56,0,421,29,52,1153,237,5,36,242,0
41,10787,120,283,667,943,837,4219,437,1052,48,19,1784,4953,54,2117,0,0,7,0,86,0,623,24,123,67,42,0,343,454,0
42,6169,113,223,934,2868,1578,4905,535,2807,169,35,3453,3838,37,2471,0,0,0,0,23,0,469,17,189,649,15,0,51,417,0
43,3509,80,213,457,743,469,3364,2172,1527,67,396,1611,1674,66,3573,0,16,4,0,60,298,839,24,2000,540,999,1186,139,1325,3
44,6977,16,85,315,1027,753,4759,529,1838,33,138,1811,3115,0,2436,0,0,8,0,112,0,1111,0,1059,59,658,0,110,850,0
45,3254,167,429,1408,3532,3248,3662,2158,2006,811,869,2150,752,8,3745,0,0,4,0,12,0,895,68,660,289,390,0,30,850,0
46,4412,287,473,1034,2024,1131,2991,392,2008,98,28,2894,4596,176,1712,0,33,6,0,7,0,77,111,65,704,69,0,4,217,0
47,4185,326,457,640,2042,1838,4315,1083,1019,666,768,1007,1279,21,5132,0,5,81,0,37,21,533,401,594,565,189,3,47,1551,0
