Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,593,254,2328,454,443,2730,1374,384,350,1866,28,8,2529,467,1831,302,1212,1044,297,268,0,65,20,127,276,15,139,23,87,0
2,596,143,765,278,526,877,431,129,127,3900,9,22,1693,151,3281,150,1305,561,510,2256,2,90,10,60,224,380,25,18,591,76
3,633,279,1601,166,371,2416,1477,419,362,3407,1,10,2424,179,1260,114,556,527,762,747,11,212,4,62,220,321,59,29,353,0
4,677,73,1379,274,315,2354,1157,197,456,2558,20,4,2289,661,1816,202,1033,706,272,876,0,34,86,217,383,13,62,42,20,0
5,699,298,555,376,279,557,495,213,129,2224,110,67,1377,1399,817,1705,1045,2361,271,953,1,31,481,439,27,50,521,447,15,0
6,1120,361,225,46,59,488,461,553,44,754,17,3,2863,791,2360,607,2140,2306,487,941,43,25,61,192,134,373,300,84,1206,0
7,624,1,82,1337,337,469,692,236,806,560,511,48,528,2132,141,1007,137,0,169,134,3,6,568,1159,0,4,648,378,9,0
8,757,211,405,537,225,1016,338,378,539,1472,186,42,1015,581,723,793,1508,2339,421,919,20,18,130,313,54,206,664,259,190,31
9,574,108,176,238,127,960,428,233,90,1142,44,5,1387,702,1228,591,1833,2534,159,531,0,0,48,274,18,21,180,243,533,0
10,1071,137,101,163,128,588,1050,853,98,1516,49,3,2154,651,826,486,2011,2088,220,922,31,10,23,419,52,150,295,156,825,0
11,752,330,485,223,334,817,895,568,189,2600,44,8,2209,1005,1532,308,612,186,611,1913,126,474,77,607,33,12,235,434,438,0
12,564,175,312,642,293,164,172,176,590,231,1570,159,391,820,79,804,18,10,35,146,10,48,3469,1874,0,0,84,658,0,6
13,501,91,119,1226,262,413,313,186,129,402,1025,267,280,1049,4,573,2,0,36,1,0,3,2707,2238,0,0,124,453,0,0
14,507,174,249,353,176,235,792,391,0,853,373,162,526,1433,65,958,17,0,12,11,0,0,1768,2128,0,1,222,15,28,0
15,618,165,494,2216,537,330,259,327,8,180,952,2381,54,292,13,54,0,0,13,0,0,10,2719,1503,0,0,46,0,2,4
16,520,131,477,1257,581,732,730,462,904,279,1502,284,450,1242,111,1295,69,66,213,104,94,111,2835,630,0,9,253,738,22,2
17,845,547,1207,1002,433,696,243,407,1262,232,1679,265,103,761,68,1209,8,45,30,153,10,21,2246,990,0,1,208,101,6,17
18,711,130,140,581,258,592,626,225,53,2133,393,153,447,2256,13,477,0,0,12,296,65,39,3438,2698,0,0,108,184,94,0
19,611,709,3521,382,432,3788,1941,754,362,719,76,24,1733,274,207,75,528,31,612,48,8,63,21,152,15,490,774,7,526,129
20,528,949,1091,49,128,4134,892,329,222,1321,0,4,1666,115,1861,127,1037,914,511,542,2,72,4,45,31,250,177,2,1325,38
21,648,850,1358,297,272,3213,766,297,435,1563,33,32,1569,224,1485,322,797,428,556,575,4,54,62,124,61,270,89,33,2349,104
22,599,555,5155,332,365,4450,750,1076,235,668,35,24,596,127,999,43,498,261,443,240,1,143,17,69,98,425,144,13,762,33
23,681,102,202,147,115,471,557,195,46,1442,2,3,1037,110,1824,518,2764,5176,398,1700,4,209,41,44,1552,217,7,43,47,4
24,928,281,629,547,277,1656,272,521,181,1318,133,32,938,275,1252,582,1721,2357,301,690,39,14,76,120,159,122,91,547,486,4
25,970,100,242,923,250,1135,299,725,799,373,1017,166,528,835,527,2590,910,980,163,46,21,31,1543,1111,62,28,524,878,112,0
26,984,517,940,94,205,916,199,229,370,1195,40,24,809,98,1184,211,1032,2885,257,1272,11,13,33,35,776,209,261,593,671,98
27,617,209,551,188,93,2577,427,806,474,1668,30,3,1757,379,1936,94,1971,767,262,503,0,27,12,156,212,112,130,59,940,12
28,685,307,295,563,246,1184,426,717,486,1103,111,11,1051,892,543,396,1346,1317,131,427,12,15,139,781,10,28,241,604,43,5
29,782,734,508,145,103,1282,364,313,358,1429,56,42,1537,288,1010,193,2308,1004,393,743,12,43,90,146,80,75,98,394,272,0
30,665,296,620,578,246,1189,290,472,929,1070,523,114,242,1102,398,2910,258,524,61,121,5,60,1877,901,9,1,162,742,6,6
31,1068,196,163,548,159,692,394,490,101,1025,249,159,721,928,487,1901,314,1955,81,1022,22,4,1475,831,76,7,416,543,146,0
32,598,116,220,349,142,580,204,262,162,969,241,88,666,617,518,2239,351,1810,28,798,0,0,556,485,125,3,80,339,139,0
33,470,206,288,854,282,528,351,450,273,747,695,432,365,758,370,1682,218,237,61,155,3,11,1693,733,25,10,222,390,44,0
34,615,211,379,377,294,1083,516,722,397,1141,236,96,977,1143,180,953,635,1065,502,151,23,63,394,1024,5,36,519,63,18,0
35,514,299,321,102,101,685,92,226,180,1087,99,29,506,379,644,1032,645,2113,77,1366,0,1,381,174,140,270,187,784,286,57
36,520,701,695,483,157,1530,278,350,491,922,189,53,813,496,491,721,291,760,272,439,29,17,300,308,156,10,167,164,502,6
