Fish,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,567,431,6992,735,2711,704,509,539,32,54,53,65,38,134,0,3,5,26426,118,26426,5,87,13,276,26426,26426,34,0,26426,52
2,504,2230,2263,108,648,1480,1567,2201,0,75,4,11,140,106,15,47,39,8,178,11,148,691,3,61,26426,10,22,26426,29,26426
3,519,2256,3278,408,1225,2117,744,1632,6,67,28,93,175,77,17,21,11,26426,195,0,253,293,30,87,26426,23,29,26426,115,15
4,450,879,8296,160,1480,225,171,619,0,8,11,38,1,2,26426,26426,26426,26426,5,26426,5,82,4,26,26426,26426,26426,26426,26426,20
5,624,110,419,1079,1200,40,791,183,8,594,61,34,1692,1116,1572,379,595,422,316,563,22,290,64,576,83,94,313,5,6,26426
6,846,1312,1525,1027,1199,565,1403,1509,17,295,94,214,648,269,112,31,96,94,293,26426,121,284,46,475,26426,133,163,1,17,26426
7,649,678,377,1366,1117,610,1997,1684,12,243,126,444,512,220,3,46,17,26426,193,26426,120,318,143,406,26426,7,86,26426,9,9
8,914,1639,1649,112,852,1226,871,1561,9,209,4,19,629,280,136,49,188,115,376,60,253,760,22,228,26426,64,355,6,332,26426
9,644,1222,758,567,1095,1398,1638,3886,10,101,14,49,244,142,17,3,10,1,48,26426,95,231,0,97,26426,21,0,26426,124,26426
10,645,647,835,2266,2226,952,1598,2667,45,64,188,278,82,101,1,26426,26426,26426,25,26426,36,216,73,444,26426,26426,5,26426,1,26426
11,630,1567,1559,1151,1377,2305,647,2236,60,100,61,168,165,135,0,6,1,26426,50,0,39,154,52,310,26426,5,13,0,4,26426
12,597,1058,1282,449,1109,1684,996,2442,21,515,21,93,324,352,36,50,13,4,43,5,8,50,194,446,26426,26426,51,26426,34,56
13,916,601,346,959,949,294,1679,2157,6,284,84,385,767,170,1,26426,26426,26426,116,26426,49,116,116,462,26426,26426,5,2,25,26426
14,719,552,282,503,188,367,3691,2037,26426,422,80,179,1046,353,14,24,21,11,189,0,7,74,320,907,26426,1,29,2,38,26426
15,741,596,1023,1357,1135,1064,1223,2625,27,100,235,681,175,208,13,35,18,4,43,0,4,42,136,418,26426,26426,53,0,15,12
16,534,611,434,1693,871,889,762,3774,8,92,301,387,170,218,2,2,26426,26426,152,16,27,282,147,576,26426,2,88,26426,1,26426
17,640,678,552,495,535,926,1219,2435,121,263,65,90,464,174,61,58,45,22,225,48,181,547,128,287,26426,22,37,0,487,23
18,703,2889,1665,530,987,677,488,1767,33,121,55,137,117,154,10,20,26426,26426,55,6,238,211,38,235,26426,10,65,4,109,1
19,477,331,7481,530,1974,487,549,1363,6,40,19,54,50,152,26426,13,26426,26426,72,26426,18,161,14,106,26426,1,20,26426,26426,0
20,525,452,2192,445,1227,1435,1488,901,41,1253,15,40,1272,131,250,65,74,48,307,74,13,524,17,156,3,32,37,3,293,3
21,492,1237,3632,247,1403,1889,960,1333,10,273,16,33,260,58,32,26426,6,26426,74,26426,100,439,6,70,26426,17,0,0,108,16
22,587,699,7756,396,1203,1469,643,957,8,130,20,86,338,11,15,1,0,26426,32,1,26426,29,26426,25,26426,26426,4,26426,5,52
23,561,432,1213,1480,1683,1092,2306,644,5,832,103,391,600,409,8,65,26426,0,58,3,53,311,126,697,26426,1,51,0,5,4
24,929,1123,542,624,1134,189,1267,1008,0,542,62,279,1670,727,71,46,54,2,505,4,181,367,89,614,26426,94,127,26426,80,0
25,814,462,655,2281,1611,602,3005,1971,9,61,165,211,284,163,26426,26426,26426,26426,71,26426,41,444,26426,233,26426,26426,15,26426,0,26426
26,659,1044,732,791,1429,931,1708,3238,20,254,71,191,382,248,10,20,4,26426,167,1,292,278,78,453,26426,10,97,0,12,192
27,560,639,147,338,316,191,1547,2467,0,187,19,22,879,276,72,50,130,49,182,3,43,157,27,379,26426,21,63,26426,141,26426
28,1010,646,160,862,357,662,4165,2218,8,585,155,118,1245,309,10,16,6,26426,161,26426,7,92,51,699,26426,26426,33,26426,27,26426
29,730,966,281,1401,1643,409,1650,1840,26426,503,125,330,249,155,26426,26426,26426,26426,25,26426,917,984,40,970,26426,26426,3,26426,0,26426
30,706,447,381,2136,980,499,1995,1673,67,413,229,798,333,361,18,41,2,26426,67,12,10,119,217,1061,26426,26426,37,26426,10,26426
31,569,420,340,1666,817,565,1047,2132,4,130,189,442,38,27,26426,26426,26426,26426,12,26426,11,29,63,534,26426,26426,26426,26426,0,26426
32,622,619,512,2248,524,1614,1302,3104,1,374,342,241,158,170,1,10,26426,26426,10,0,26426,26426,109,542,26426,0,13,26426,32,26426
33,602,934,2045,1922,2216,171,262,1347,3,10,455,1522,9,21,26426,1,26426,26426,0,26426,26426,8,253,289,26426,26426,0,3,26426,45
34,572,786,964,716,1346,543,914,3653,11,72,80,250,125,121,11,5,8,26426,34,26426,14,91,122,340,26426,5,10,3,7,9
35,798,749,1057,960,842,643,859,2612,4,87,130,289,47,56,1,11,26426,26426,20,26426,2,50,210,440,26426,26426,31,0,5,4
36,580,706,237,756,330,854,1351,2382,4,324,155,128,128,99,26426,4,26426,26426,25,26426,3,95,232,914,26426,26426,15,2,8,26426
