"";"V1";"V3.x";"V3.y";"V3.x.x";"V3.y.y";"V3.x.x.x";"V3.y.y.y";"V3.x.x.x.x";"V3.y.y.y.y";"V3.x.x.x.x.x";"V3.y.y.y.y.y";"V3.x.x.x.x.x.x";"V3.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y.y.y.y.y";"V3.x.x.x.x.x.x.x.x.x.x.x.x.x.x.x";"V3.y.y.y.y.y.y.y.y.y.y.y.y.y.y.y"
"1";"Slice";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area";"Total Area"
"2";"1.png";"1001";"609";"10349";"977";"2546";"3217";"1997";"1843";"369";"1959";"48";"61";"2607";"644";"1701";"305";"1216";"1048";"386";"271";"23";"236";"36";"233";"277";"22";"171";"22";"98";"3"
"3";"10.png";"2181";"844";"286";"1142";"514";"1552";"5847";"3370";"112";"2280";"232";"142";"3549";"1070";"932";"542";"2274";"2354";"464";"1016";"50";"120";"77";"1199";"64";"176";"406";"176";"946";"53214"
"4";"11.png";"1132";"1249";"668";"1579";"1877";"1223";"2374";"2261";"182";"2978";"170";"340";"2358";"1071";"1454";"293";"558";"170";"531";"1756";"1036";"1371";"102";"1593";"27";"11";"228";"409";"403";"53214"
"5";"12.png";"1134";"582";"743";"2661";"1224";"687";"2057";"1792";"761";"683";"1991";"933";"750";"1236";"112";"967";"36";"9";"95";"169";"31";"141";"4146";"3215";"0";"53214";"140";"748";"10";"8"
"6";"13.png";"1319";"658";"603";"3936";"1440";"1318";"1834";"3195";"176";"723";"1677";"932";"397";"1555";"4";"833";"0";"53214";"56";"1";"20";"44";"3833";"3684";"53214";"53214";"152";"604";"7";"53214"
"7";"14.png";"1073";"858";"905";"2621";"776";"1952";"2460";"3820";"4";"1407";"881";"425";"789";"1974";"73";"1290";"17";"53214";"29";"15";"53214";"53214";"2295";"3274";"53214";"2";"266";"18";"75";"53214"
"8";"15.png";"1220";"1325";"2952";"4948";"3239";"592";"562";"1923";"14";"231";"1622";"4793";"81";"399";"12";"66";"2";"53214";"14";"53214";"53214";"20";"3603";"2064";"53214";"53214";"59";"8";"1";"62"
"9";"16.png";"1176";"1101";"1644";"2217";"2371";"1437";"1994";"5062";"1059";"382";"1588";"593";"652";"1521";"140";"1424";"87";"79";"291";"118";"129";"228";"3297";"1045";"53214";"11";"284";"834";"35";"17"
"10";"17.png";"1921";"1654";"2710";"2497";"1437";"1583";"1402";"3751";"1484";"376";"2093";"688";"186";"894";"88";"1429";"7";"53";"46";"179";"11";"87";"2767";"1653";"53214";"0";"260";"135";"16";"27"
"11";"18.png";"1126";"925";"433";"1334";"590";"1450";"2099";"2860";"75";"2240";"564";"307";"588";"2354";"13";"480";"0";"53214";"45";"278";"70";"157";"3523";"3517";"53214";"53214";"126";"202";"98";"0"
"12";"19.png";"989";"1112";"11104";"1116";"3165";"4467";"2364";"1389";"387";"755";"122";"83";"1685";"441";"209";"77";"508";"28";"701";"50";"15";"153";"37";"416";"11";"451";"777";"9";"531";"180"
"13";"2.png";"969";"612";"3276";"731";"1874";"2472";"2180";"1083";"180";"5215";"37";"57";"3014";"307";"3408";"214";"1328";"576";"954";"2348";"18";"675";"25";"222";"247";"396";"58";"25";"919";"79"
"14";"20.png";"1037";"3366";"3718";"197";"822";"6273";"2635";"2784";"231";"1425";"1";"16";"1894";"215";"1963";"182";"1124";"961";"677";"593";"144";"824";"11";"98";"29";"286";"200";"0";"1402";"47"
"15";"21.png";"1086";"3327";"5215";"712";"1620";"5785";"1558";"2174";"405";"1511";"73";"147";"1669";"306";"1419";"328";"737";"420";"774";"522";"282";"389";"87";"214";"62";"285";"120";"30";"2272";"111"
