"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36";"...37";"...38";"...39";"...40";"...41";"...42";"...43";"...44";"...45";"...46";"...47";"...48";"...49";"...50";"...51";"...52"
"1";0;7;7;0;0;0;0;0;3;107;398;0;0;206;0;115;18;328;713;0;15;413;713;0;0;161;0;65;0;0;0;4;0;0;356;0;0;99;0;0;0;23;57;169;0;3;0;73;0;0;20;0
"2";500;1323;1221;58;168;319;9;0;500;1249;1318;15;821;1004;430;660;422;1400;1245;156;812;736;1244;29;761;1037;1910;1125;235;1000;56;612;0;296;1237;642;22;378;380;0;75;3294;723;4531;414;399;228;354;413;166;183;217
"3";10633;10569;15577;8318;11202;8787;10417;9028;15553;18162;8765;5241;8882;15127;8381;15672;7861;10795;13520;18507;11325;11047;13518;10064;10613;12522;54086;25713;15831;19558;15981;23095;8915;18200;12214;16064;8982;6096;19931;9294;15602;13340;10267;16900;11839;15918;24526;10976;11849;7736;18561;8339
"4";40854;57251;34328;20137;28146;26166;29129;48007;30146;20145;26127;19244;22910;19057;15952;13360;19391;9076;14193;16570;18575;16670;14197;21426;16636;22659;21212;50356;63288;50042;31709;33294;45495;42556;26582;26196;21295;19808;18172;21773;31195;6573;14100;10641;14843;15659;12798;17291;14842;20153;22337;21293
"5";251;139;170;101;73;107;83;110;169;110;314;43;41;192;123;141;118;273;804;273;366;392;804;1006;689;146;1051;174;85;93;92;102;89;75;667;60;117;87;64;87;52;132;474;63;115;265;132;849;115;119;258;307
"6";0;539;0;0;0;91;0;0;0;147;11;0;0;105;1;0;0;185;65;0;0;131;65;0;0;8;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;83;0;0;0;0;0;0;0;0
"7";860;631;948;386;456;427;439;539;570;1246;1714;322;437;1085;582;2556;2393;1310;2849;2599;2208;2358;2849;4065;2372;778;5215;1424;509;436;456;498;521;415;2329;781;619;633;887;656;423;4058;2100;2015;1471;2621;2315;3720;1472;1231;2088;2313
"8";3316;1468;6746;812;503;96;2153;4472;5793;3586;12172;4857;12539;5762;2432;2493;9106;189;5081;6896;8774;6091;5079;9036;19539;12881;0;1731;3686;5865;165;2304;11092;2814;10704;1338;5681;8288;1264;10976;6268;572;3970;1134;4517;3931;1626;6151;4511;6092;4936;7192
"9";141;69;235;0;8;7;0;0;4;341;978;16;135;219;32;530;288;508;627;160;839;698;627;155;390;859;126;344;16;0;4;107;0;6;473;93;0;102;26;0;12;1236;229;1365;317;432;132;592;317;39;426;397
"10";2144;1640;4445;285;2129;1055;1499;1093;2867;5409;5341;759;3706;3024;1853;8576;2421;4832;5989;6987;5047;6767;5986;3696;6543;6713;12666;5154;1884;2691;1474;4858;1012;3121;6875;4437;1610;2381;5302;1910;1984;21131;4234;19332;4215;8536;12839;5290;4209;2930;6872;4060
"11";33917;14049;22363;57709;35053;38597;51334;30222;24724;19422;21043;15492;18377;23443;17738;22293;16368;23640;19615;19566;21915;19035;19608;18703;16053;18965;19;4265;10510;13145;28838;30527;29952;19378;22296;35082;25674;16692;20142;16843;17037;16151;22682;17714;21488;16400;22073;20346;21496;16394;26107;22109
"12";2087;5948;6635;4501;6862;15500;2533;56;3140;12071;896;396;4907;3718;4024;7863;635;9428;6941;386;2304;3278;6942;1208;882;1823;2406;1100;980;5726;14618;773;218;7450;2506;5652;851;333;4341;3221;385;15584;3464;3939;2241;1533;3630;520;2240;338;16;1438
"13";47;1435;857;0;228;45;0;0;335;124;0;0;0;576;945;257;0;186;0;0;0;511;0;0;0;97;26;0;0;0;358;0;0;856;1;33;0;0;137;306;0;167;0;0;0;0;0;4;0;0;0;0
"14";442;2221;882;958;681;2549;135;5;754;2871;514;29;744;1577;761;1640;82;1553;990;7;347;1377;992;14;111;611;1388;794;595;1370;1166;619;0;1000;1757;2624;222;54;226;69;42;2729;261;3302;299;10;45;32;299;22;2;18
"15";29;507;166;172;0;60;0;0;80;312;362;0;350;448;144;420;93;423;915;0;306;725;915;0;64;193;448;275;0;362;7;88;0;0;400;359;0;245;0;0;0;144;127;802;16;0;0;70;17;0;0;117
"16";7;123;28;563;1020;3480;390;0;184;957;0;0;0;346;220;806;0;2573;1480;0;222;1302;1480;12;0;130;0;32;117;4;3506;8;0;839;665;1823;0;0;0;0;0;192;0;1224;0;0;0;0;0;12;0;0
"17";0;0;0;436;21;733;0;0;0;153;0;0;5;157;34;169;0;364;41;0;0;436;40;0;0;0;0;0;0;34;610;0;0;41;0;109;0;0;0;0;0;0;0;109;0;0;0;0;0;0;0;0
"18";0;0;0;0;0;157;0;0;0;0;0;0;0;14;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
