"";"...1";"...2";"...3";"...4";"...5";"...6";"...7";"...8";"...9";"...10";"...11";"...12";"...13";"...14";"...15";"...16";"...17";"...18";"...19";"...20";"...21";"...22";"...23";"...24";"...25";"...26";"...27";"...28";"...29";"...30";"...31";"...32";"...33";"...34";"...35";"...36"
"1";387;447;453;428;396;716;4031;175;593;1602;817;1100;2769;411;4605;2258;478;768;502;352;431;450;1882;1551;1229;1493;370;443;1905;5857;4311;792;11865;1063;989;650
"2";9938;1645;7655;4177;5381;5613;7991;2169;6017;9987;8014;6305;8106;2103;7218;4509;2891;4890;4800;4030;4340;6576;7522;8584;8831;9328;1586;2721;11893;7835;5459;2584;16148;8277;4467;2157
"3";2417;17540;12988;525;685;4929;6807;11668;19486;7361;8562;17400;4789;9705;9446;5794;12343;3856;1591;9566;13922;6000;6078;2202;3386;13982;11512;6508;3114;5473;6048;16209;577;5053;7263;10086
"4";32903;31299;32144;58113;5175;20222;15032;24259;21776;13714;22454;25250;14187;13129;13836;21067;17735;27960;46134;18704;29896;46525;11680;14021;12736;23281;17488;13285;18720;13012;16912;16885;21836;25795;23504;13188
"5";4432;2291;2670;3529;1495;1394;1387;1538;1158;1051;987;1192;1393;1279;1219;1465;1506;1820;1008;2129;2707;3850;1871;1400;1366;1919;1381;1170;1072;1181;1208;1364;1726;1319;2030;1263
"6";1884;12613;12922;1844;2970;14213;9169;15926;12092;6266;12046;7084;8980;5668;4076;4159;7104;19856;1907;3305;4843;2897;2763;15954;6011;7764;10444;10226;8560;5781;5952;5866;5897;7284;11722;5963
"7";51;400;524;0;14893;2991;943;5871;811;295;315;2379;2727;2065;845;980;3334;718;83;7345;848;584;1328;9645;151;1619;5888;2148;243;917;0;351;0;423;0;158
"8";0;1978;1020;0;464;287;206;3568;945;0;0;3139;841;1150;245;0;5309;1243;69;15779;3540;89;1481;2795;0;1116;1152;562;239;749;106;494;0;225;225;1090
"9";2473;326;557;104;8362;5416;5072;1097;1423;2141;2973;6722;6026;11902;3176;3421;4050;2121;1282;1587;1397;55;9334;11357;2351;4725;6407;8704;9606;10301;4933;5863;936;2848;3278;7989
"10";24;317;177;0;9112;2242;209;3049;202;12;10;468;11;382;210;0;310;24;0;562;331;2;12;773;18;328;2332;88;0;79;0;33;0;244;0;0
"11";313;228;315;0;597;1722;94;2026;303;0;4;20;0;94;0;89;245;359;74;642;207;0;134;2234;0;411;348;40;0;0;0;0;0;0;0;0
"12";2173;6390;3270;845;8295;9213;11815;2925;6184;5789;3483;5548;10739;16588;5094;4191;5656;3488;4767;12983;6517;2702;24068;9015;15563;7556;12348;20947;10540;11638;7071;4785;984;4496;4982;7609
"13";0;16;0;0;2703;26;0;180;14;0;0;95;0;0;14;0;8;0;0;504;0;0;1;66;0;0;192;0;0;0;0;0;0;0;0;0
"14";0;10;0;0;3208;990;0;1243;3;0;0;25;0;130;0;0;60;0;0;322;0;0;0;11;0;0;382;0;0;0;0;0;0;0;0;0
"15";1706;2861;2087;128;8554;4524;4502;5120;1697;1317;2021;1371;3005;4338;809;2888;4031;1321;1248;4182;961;392;2657;6850;3032;2955;5514;5032;1313;2089;463;427;82;1099;493;1379
"16";26710;5477;11318;21007;8799;8896;6635;8143;6910;9798;8267;11915;4948;3494;8510;5426;5431;8955;19970;11020;14804;14484;12272;7672;9312;10267;2227;1548;6449;5028;4768;3817;18812;10452;7375;3555
"17";1674;169;812;238;3381;5055;7248;726;1250;8594;3792;1431;5416;4473;4610;11931;2573;2127;580;1011;400;17;9578;3510;7835;2939;2217;5913;7080;12036;11776;12080;12939;3838;7782;6415
"18";20305;25478;22188;20958;5256;11721;9358;10544;20566;23955;18376;20502;8907;9420;20205;23746;17070;17173;28754;15487;22764;34259;13351;5028;14428;12353;14821;5169;11976;12775;19013;18960;15393;24875;32386;14428
"19";24;85;103;0;1350;168;156;317;326;65;110;584;27;532;157;198;674;222;112;135;66;0;669;1555;10;186;87;128;14;521;5;427;1;59;0;35
"20";5915;1365;3055;1792;8618;8579;10650;1163;6254;14539;16673;2628;5859;2809;9444;11062;4742;5263;6543;5934;2517;2488;11973;1984;14628;5555;3756;4290;6838;9380;16674;19223;5031;5997;11511;5777
"21";405;7222;4684;107;2264;10850;16574;10144;9568;4959;1620;2064;11450;16491;1082;3124;8617;1272;388;4245;2955;13;1519;14652;20102;12400;6732;20963;9439;5652;279;54;46;2604;1351;1641
"22";0;45;0;0;813;0;2;789;0;0;0;165;0;47;0;5;494;5;0;1372;93;0;0;11;0;35;88;0;0;1;0;113;0;0;0;0
"23";0;17;0;0;2512;0;0;234;0;0;0;18;0;0;0;0;45;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";102;554;779;0;6987;1630;1290;2362;39;34;301;1279;6;755;835;927;1007;887;597;568;35;4;1505;2963;418;1657;1181;662;58;1222;0;536;81;86;172;90
"25";0;112;0;0;921;111;95;32;0;0;0;115;0;264;26;0;226;4;0;255;0;0;81;3;0;0;94;0;0;62;0;0;0;0;47;0
"26";0;0;43;0;81;196;1180;94;0;0;42;954;135;343;538;396;581;84;3;0;5;0;349;262;15;0;15;188;17;805;31;320;612;243;1290;734
"27";65;442;0;0;6500;1124;256;3362;161;0;0;255;0;414;130;0;570;75;0;643;0;0;77;555;0;192;791;0;0;0;0;0;0;16;0;0
"28";0;0;0;0;0;0;0;370;0;0;0;3;0;0;0;0;237;0;0;29;117;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0
"29";272;0;92;4;809;553;1467;808;0;1846;529;1896;1625;4190;2116;2316;1455;499;66;0;110;0;1310;1056;37;1449;991;835;1353;4318;1673;1248;3755;1619;4299;3413
"30";0;0;0;0;0;0;0;105;0;0;0;0;0;0;0;9;101;0;0;0;2;0;0;0;0;12;0;0;0;0;0;0;5;0;0;0
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
